fx,orientation,trans,win_e,win_w
147.34681545777343,-2.71,0.7827,3.666,3.239
134.72761890799265,-72.73,0.4721,4.523,5.8370000000000015
133.5665322231483,-144.05,0.3455,5.16,5.898
159.24523454521298,-23.79,0.4957,5.862,0.47200000000000003
134.25482094638224,-112.76,0.5607,5.863,5.855
133.41732129185374,70.95,0.2619,5.547999999999999,5.886
133.41851593212596,72.27,0.2605,5.566,5.9
133.349153117058,71.86,0.2592,5.562,5.892
133.17016129719858,72.53,0.2678,5.57,5.779
138.6099526545888,131.02,0.2378,5.064,5.088
134.28270176688036,58.19,0.2429,5.631,5.702000000000001
134.37278337300552,-21.66,0.6262,4.923,2.6069999999999998
143.14485013335502,-28.3,0.482,5.839,3.322
133.27578218982418,73.65,0.2662,5.6110000000000015,5.871
133.25442329218407,71.55,0.2602,5.565,5.896
133.36852187061206,70.7,0.2617,5.585,5.865
133.56245666653516,70.25,0.2616,5.579,5.898
158.38565044433932,178.02,0.5703,5.824,0.41100000000000003
138.80792309000194,109.82,0.5670000000000001,5.003,4.494
133.34630657938098,71.83,0.2642,5.5829999999999975,5.888999999999999
160.05716127743446,-173.64,0.3435,3.083,3.122
138.31208802233618,88.51,0.3969,4.534,4.751
168.59697313491682,-178.2,0.2124,0.113,5.87
144.76018917962853,-170.3,0.2229,3.2260000000000004,5.72
139.0692894027381,-132.44,0.5839,5.724,4.251
135.2005890923227,77.43,0.3454,4.663,5.617000000000001
133.18949356357672,70.67,0.2624,5.589,5.867000000000001
133.2622810634053,70.7,0.2619,5.5829999999999975,5.885
133.05535612134108,72.92,0.2678,5.5939999999999985,5.896
133.27472339833926,73.88,0.2709,5.581,5.89
156.46730507776346,177.02,0.7563,2.31,5.8820000000000014
138.83148944534034,-173.34,0.2389,4.603,4.995
134.05539978281354,-112.87,0.4468,5.433,5.779
133.19519118658016,74.69,0.2739,5.532,5.879
133.23594925522582,71.13,0.276,5.579,5.875
133.34589326185812,72.15,0.2738,5.563,5.852
152.32509376061424,146.31,0.6148,2.696,3.801
133.18195471647556,71.34,0.2711,5.598,5.896
161.64829747096863,15.88,0.4175,0.135,5.803
138.50170563176195,-60.26,0.2035,5.1,5.5710000000000015
133.1466890851052,71.89,0.275,5.546,5.88
133.28791374898492,72.36,0.2756,5.558,5.882999999999999
133.29705349515024,72.36,0.2751,5.549,5.872000000000001
141.86489189538466,-128.6,0.5785,2.838,4.332
133.97509884818692,-42.93,0.4189,4.954,4.734
140.68991341530597,77.09,0.2071,4.662,5.225
149.8614400742093,-69.85,0.6779999999999999,1.892,5.874
136.38125295906534,-114.51,0.4195,4.857,4.82
133.03310191680666,74.02,0.2689,5.547999999999999,5.896
136.54293060748043,-37.83,0.3151,5.875,4.655
133.13220081977354,72.11,0.2713,5.551,5.893
133.32983539780858,72.09,0.2714,5.551,5.9
133.1246586331221,72.06,0.2712,5.558,5.898
117.71062635362087,124.09,0.4422,4.237,5.879
116.92470397218723,123.99,0.4405,4.244,5.877999999999999
158.18560980315374,171.1,0.753,5.885,1.8119999999999998
125.76480840574331,66.15,0.5201,3.629,5.86
126.48794465517562,76.05,0.5036,4.667,5.857
146.37956498147454,48.51,0.5051,2.631,4.501
117.48013833698236,69.02,0.6581,4.7330000000000005,5.841
138.11685399320538,127.47,0.4377,4.2,5.8660000000000005
135.65848826760592,123.03,0.4403,4.237,5.843999999999999
137.83125226032996,124.44,0.4401,4.238,5.877999999999999
139.8380468592625,61.59,0.6791,5.688,4.9
138.18601869198,76.9,0.6585,4.728,5.8439999999999985
136.25934182257228,76.34,0.5039,4.676,5.8610000000000015
140.27406793725618,179.99,0.4213,3.287,5.89
169.75443601307938,-169.39,0.7090000000000001,5.891,0.121
145.15048298968742,161.97,0.4285,5.55,2.942
139.91871908964148,-5.97,0.5394,4.247,5.8820000000000014
135.95183702474287,73.77,0.5002,4.609,5.818
166.71801464124354,-108.93,0.6569,3.2569999999999997,2.194
142.76528124699374,-98.96,0.6701,5.033,3.292
135.31099389830644,-148.13,0.3879,5.88,5.28
132.61421578992224,88.71,0.3437,5.1770000000000005,5.805
137.04779056863038,118.3,0.4044,4.184,5.54
144.09495523251528,67.13,0.3507,2.815,5.24
136.93632903197425,60.62,0.5777,5.8260000000000005,5.82
136.41298923792192,133.03,0.4358,4.187,5.702000000000001
137.0577290026948,-31.5,0.5423,3.2739999999999996,4.5680000000000005
136.18289551716268,-103.02,0.531,5.0,5.158
137.29093025967572,124.32,0.4408,4.253,5.8820000000000014
179.9025887091194,-81.62,0.2,1.742,3.087
138.27762064077865,-86.97,0.4801,3.7689999999999997,4.9060000000000015
135.75165515093843,121.18,0.4481,4.248,5.86
135.50293158646556,103.14,0.5137,5.002,5.85
153.32052919876185,177.27,0.2417,3.804,3.78
138.79192949370042,179.01,0.2996,5.885,5.888
133.6560161626603,27.37,0.3825,5.8320000000000025,5.839
135.29074147203883,83.02,0.415,5.192,5.888
136.95934166309436,124.56,0.4404,4.2639999999999985,5.885
137.2697217888957,124.27,0.4405,4.254,5.8820000000000014
135.86236135955613,123.87,0.4403,4.245,5.8729999999999976
140.78291726985555,122.28,0.6707,3.201,5.157
136.60084090626492,69.94,0.477,5.867000000000001,4.681
134.31201290048577,90.19,0.3502,5.115,5.779
134.40618229995178,87.96,0.3448,5.1560000000000015,5.814
143.5854004468206,-109.18,0.3503,2.469,5.718
134.28296149028307,-68.02,0.3932,5.1110000000000015,5.567
133.94411291154213,88.57,0.3461,5.192,5.776
136.97531955991442,124.14,0.4405,4.249,5.88
139.4467123683789,155.13,0.4513,4.138999999999999,4.944
138.56364196329045,-112.93,0.2145,4.944,5.718
140.6269698190014,179.42,0.2046,5.895,5.795
173.13516567376274,173.86,0.2017,0.209,5.891
148.40701814235766,28.43,0.2023,5.896,2.504
145.96919611740708,15.73,0.7617,5.9,5.9
140.81408426339792,-179.58,0.6435,3.181,5.857
146.87072577580471,-178.87,0.5521,5.894,2.713
141.26350062740724,-178.99,0.5655,5.89,5.899
136.50390807564108,-168.84,0.2736,5.891,4.9060000000000015
145.27202481894366,180.0,0.8,3.883,3.4339999999999997
138.620428160141,149.21,0.5067,3.551,5.891
134.37433025139418,-65.31,0.3258,5.8839999999999995,5.899
134.52153636717915,-61.5,0.3197,5.893,5.9
134.09502721095194,-65.93,0.3142,5.896,5.895
135.18429029092778,-64.22,0.3209,5.892,5.898
143.13823488141296,179.06,0.6599,5.888999999999999,5.428999999999999
136.51854328684783,139.64,0.4489,5.794,5.8820000000000014
134.18799156204122,-78.68,0.3387,5.895,5.497000000000001
142.2026795806831,56.36,0.2149,3.221,5.895
137.16928994187427,13.51,0.3414,5.9,5.895
132.76373013506213,64.26,0.2802,5.308,5.899
133.8333627353368,67.21,0.2825,5.33,5.894
167.54593911051728,41.72,0.7923,0.173,5.892
133.86757274183876,61.86,0.2842,5.312,5.891
133.7610065858902,63.55,0.2757,5.329,5.8729999999999976
134.09127071242108,64.25,0.2802,5.308,5.9
142.72353162116184,19.82,0.7197,3.016,5.666
135.48106777956585,44.61,0.5682,4.248,5.881
134.0314585394241,62.96,0.2812,5.25,5.859
142.86926100039042,61.55,0.7103,5.813,3.174
135.69502994216023,-95.67,0.486,5.886,4.088
133.49292445313532,65.02,0.2786,5.296,5.888
134.05162085846496,66.2,0.2807,5.285,5.864
161.62097379419683,-179.87,0.20600000000000002,5.841,1.6380000000000001
141.44999407067775,-22.44,0.2876,4.063,4.098
133.2507572259455,63.76,0.282,5.2860000000000005,5.888
133.74221437650635,64.36,0.2804,5.3020000000000005,5.865
134.25324986843887,64.21,0.2802,5.3020000000000005,5.899
139.27771122378928,128.35,0.3239,5.882999999999999,4.187
133.39779604752434,63.77,0.2832,5.317,5.894
133.6478976124658,63.95,0.2851,5.295,5.896
146.92324747817622,-170.58,0.7952,5.888,5.787000000000001
133.4471919713703,67.29,0.2833,5.335,5.881
133.42319673583157,65.16,0.2804,5.303999999999999,5.88
137.73497646474794,-53.21,0.4064,4.665,4.864
133.52815303699984,66.83,0.2836,5.3389999999999995,5.882999999999999
134.16734526532449,65.08,0.281,5.31,5.8820000000000014
133.35686597658574,64.67,0.2806,5.309,5.891
135.82158891792113,117.54,0.3969,4.542,4.923
133.31007817778516,69.62,0.2947,5.36,5.877999999999999
141.66234082090492,-155.94,0.3046,3.104,5.69
133.41208730070448,69.44,0.2957,5.394,5.891
133.2725681420385,68.97,0.2936,5.3729999999999976,5.879
133.53974292920415,72.27,0.2964,5.3610000000000015,5.8660000000000005
133.73389206374608,69.54,0.2897,5.337999999999999,5.876
133.53139788907538,66.0,0.2924,5.388999999999999,5.8770000000000024
133.47221385926605,64.01,0.2806,5.309,5.898
142.97074485308468,68.77,0.7867,4.605,4.613
133.51427048948142,66.66,0.2942,5.375,5.872000000000001
133.5075469115393,68.95,0.2933,5.359,5.8770000000000024
143.43395672117543,-116.01,0.328,5.044,3.542
133.67779083007898,67.66,0.2911,5.395,5.859
133.45763542214496,69.94,0.2981,5.365,5.893
133.2592725194265,69.81,0.2963,5.364,5.872000000000001
133.27104452089858,69.56,0.2952,5.375,5.8870000000000005
133.58045557415454,63.92,0.2795,5.31,5.892
145.481359834263,-66.2,0.6647,5.7970000000000015,2.592
142.32413892877167,47.54,0.4801,3.5810000000000004,4.4719999999999995
135.74413923352222,77.2,0.463,5.104,5.5920000000000005
133.43247208331235,67.11,0.2932,5.379,5.897
133.58705707661682,65.15,0.281,5.31,5.882999999999999
133.48063258573902,64.48,0.2804,5.308,5.895
193.04677410903003,140.17,0.2069,3.1830000000000003,0.836
145.43817594195045,-25.72,0.7993,5.598,5.898
143.61798889770088,32.63,0.7933,5.292000000000002,5.8610000000000015
