fx,orientation,trans,win_e,win_w
140.48070063508058,-151.12,0.5973,5.385,4.385
132.9540299892402,71.09,0.3072,5.6229999999999976,5.89
133.16014577886273,71.42,0.3148,5.819,5.895
133.0878519214207,70.84,0.3143,5.617000000000001,5.9
133.07239498001698,70.85,0.3138,5.621,5.9
142.67943863201373,68.91,0.7244,4.342,5.004
131.5045044359832,73.46,0.3105,4.989,5.897
142.03889742827778,-95.25,0.7102,5.897,3.63
134.71244261796264,72.99,0.3078,5.032,5.892
133.94380145765857,72.42,0.3236,4.894,5.888999999999999
142.84492880056638,164.93,0.2171,4.422,5.8889999999999985
137.85143778496018,101.24,0.3827,5.8770000000000024,4.261
133.45271560240502,72.41,0.3449,5.879,5.891
133.2675188541511,73.46,0.3105,4.989,5.9
133.6545864511115,73.4,0.3096,4.984,5.9
144.51502700556674,-32.69,0.7945,4.625,5.172999999999999
143.595549642087,-135.03,0.6072,3.395,4.6110000000000015
131.56842352157244,6.76,0.4215,4.624,5.877999999999999
134.2253405012793,-7.35,0.4423,4.605,5.8320000000000025
144.5564711467232,-25.9,0.6287,5.877999999999999,2.5839999999999996
137.46408813151268,-87.18,0.5804,5.705,5.874
132.7788069103143,73.95,0.341,5.6129999999999995,5.678
133.34872800049374,98.46,0.267,5.325,5.8870000000000005
133.78557790521089,82.08,0.2714,5.365,5.9
146.62795260021144,-86.47,0.7952,3.0980000000000003,4.548
133.8362952053267,4.14,0.4256,4.6160000000000005,5.871
134.13955281197792,73.8,0.3116,4.9689999999999985,5.895
132.8631221462918,73.63,0.3111,4.979,5.896
132.27979708772128,73.55,0.3108,4.984,5.896
144.84696319006338,64.62,0.7782,5.178999999999999,3.202
138.7859880801264,-32.74,0.2108,5.768,4.523
133.5688240497307,73.76,0.3303,5.6160000000000005,5.7989999999999995
134.5925725753539,84.36,0.3252,4.7810000000000015,5.8260000000000005
133.36788541609442,73.92,0.3389,5.659,5.676
151.46276356491228,-177.23,0.2013,4.255,3.857
139.8555795967552,-9.68,0.649,4.654,5.475
134.99598543647846,54.41,0.3286,4.178,5.563
136.461442789296,51.17,0.32899999999999996,4.68,5.6560000000000015
133.08549961166875,71.21,0.309,5.648,5.894
135.4644463977058,71.26,0.3209,4.569,5.752999999999999
138.95806079862265,56.21,0.2902,3.471,5.093
132.77217198380907,73.59,0.3104,4.99,5.892
137.46015157793698,114.75,0.5357,4.1610000000000005,4.18
140.54450017526685,-178.87,0.3681,3.6660000000000004,4.9239999999999995
133.43651242516623,86.79,0.2556,5.659,5.846
134.05979449355465,79.11,0.301,5.047,5.671
132.63213764873495,73.44,0.3437,5.613,5.675
132.93525806670343,69.51,0.336,5.336,5.77
140.82323770016228,94.97,0.4252,3.926,4.695
134.36859959056386,73.59,0.3469,5.599,5.6610000000000005
134.57654364622636,64.38,0.3548,5.403,5.71
134.02731008985208,70.7,0.3415,5.617000000000001,5.728
133.5777539079422,73.45,0.3083,4.978,5.899
134.5792216783455,73.46,0.3094,4.9830000000000005,5.898
133.6148308918586,80.45,0.3119,5.456,5.547999999999999
135.6472461329461,36.91,0.2504,4.749,5.898
134.98930541012237,78.96,0.3288,5.048,5.686
145.96592947926788,-138.35,0.7734,4.484,3.944
136.51700242745164,179.73,0.3835,4.642,5.819
133.07366096677924,63.8,0.2813,5.066,5.886
134.0690708624881,73.54,0.3093,5.155,5.754
134.60151401129804,72.12,0.3109,4.987,5.89
134.91815924613016,73.13,0.3106,4.988,5.895
160.70825211987474,34.66,0.7995,1.3419999999999999,4.538
132.62082092827677,72.79,0.3007,5.7920000000000025,5.886
133.82455418390998,74.04,0.3117,4.971,5.894
133.59611395525215,73.75,0.3111,4.98,5.895
233.4672130408041,88.89,0.6226,0.147,0.273
136.8936018521057,-148.28,0.2131,5.435,5.557
137.0481442425348,176.98,0.2534,5.876,5.765
138.16379188269843,-4.2,0.5244,5.895,5.898
136.19119144682162,22.47,0.2,5.9,5.9
170.2778923883429,-178.84,0.2092,0.108,5.892
135.68281965860885,-30.3,0.313,5.896,5.199
133.79040649199266,-90.65,0.2949,5.9,5.9
142.51294112936017,174.58,0.7034,5.89,4.058
140.91062265261303,124.7,0.4607,3.255,5.89
