fx,orientation,trans,win_e,win_w
138.0979257857574,-87.47,0.5479999999999999,5.858,5.061
133.42702727126328,-73.56,0.2819,5.89,5.518
133.47750570443623,-73.17,0.3159,5.9,5.579
133.6008646477731,-73.12,0.2828,5.859,5.5429999999999975
133.33266947632166,-74.19,0.3144,5.893,5.567
133.9165557275211,-73.96,0.3153,5.895,5.572
133.46848479266134,-73.85,0.3161,5.897,5.5829999999999975
142.99097362659114,178.52,0.5114,4.231,4.1560000000000015
134.55600031998318,179.32,0.409,5.347,4.893
133.5613941028923,-80.65,0.2953,5.9,5.381
133.2907012191069,-73.49,0.3172,5.9,5.575
152.86372718583925,-37.54,0.7885,3.687,2.6660000000000004
133.29877109657798,-73.47,0.3134,5.8870000000000005,5.544
133.62937362979392,-72.74,0.3176,5.892,5.605
133.45881332545972,-73.64,0.3166,5.898,5.577999999999999
133.56527792474358,-73.77,0.3146,5.892,5.562
151.1851969423813,122.04,0.2207,2.5140000000000002,5.888
143.22523743707364,35.61,0.4747,4.761,3.116
134.72075321211892,1.52,0.3024,5.622000000000001,5.287999999999999
133.33219227266278,-75.53,0.3105,5.898,5.445
137.95378579529347,-132.69,0.2373,5.194,4.627
138.46446534817488,130.2,0.5447,4.694,5.78
133.5488831923818,-73.6,0.316,5.895,5.5710000000000015
133.31832016933706,-74.7,0.3162,5.899,5.517
136.19547418317137,-132.93,0.2593,4.942,5.379
133.6314610106615,-74.1,0.3164,5.9,5.567
133.67252520083824,-74.91,0.3118,5.898,5.4570000000000025
133.25224201952858,-74.78,0.3137,5.893,5.519
138.7036365637725,-61.01,0.4142,4.862,5.4910000000000005
133.49630908258808,-73.42,0.3132,5.898,5.524
145.12374823594382,172.62,0.6177,4.496,1.972
143.00423868739549,64.32,0.6502,4.782,3.022
137.39267017972531,136.4,0.4219,4.995,5.615
136.21368893553614,-42.62,0.3457,5.2879999999999985,5.38
133.5012843296505,-74.79,0.3166,5.9,5.564
133.66621777648578,-73.32,0.3166,5.896,5.567
133.71734853540792,63.17,0.2625,5.867000000000001,5.095
133.54203631951728,-73.05,0.3184,5.898,5.59
133.53850472428508,-74.06,0.3143,5.898,5.5889999999999995
133.56866716938706,-73.9,0.3151,5.897,5.5820000000000025
133.4345229950079,-73.82,0.3155,5.896,5.577999999999999
152.01720521609204,-37.39,0.7788,5.8889999999999985,1.902
