fx,orientation,trans,win_e,win_w
134.7749015955662,77.17,0.2933,5.223,5.888999999999999
135.03399022186198,-58.75,0.654,5.75,4.091
135.6954102356023,-120.47,0.4297,5.559,5.337999999999999
133.29308981070642,70.8,0.2884,5.855,5.893
133.0407104206927,71.5,0.2862,5.894,5.896
133.15531837871728,70.58,0.285,5.8889999999999985,5.899
133.20271290607087,71.59,0.2848,5.869,5.9
133.06940631416646,71.76,0.2842,5.872000000000001,5.897
138.6368365371365,-34.28,0.4933,4.848,4.192
133.3488925159167,72.4,0.2812,5.881,5.881
133.2397759165657,72.22,0.2855,5.88,5.892
133.13824664903697,73.92,0.2864,5.862,5.8870000000000005
134.03565232069064,123.17,0.3754,5.362,5.862
135.91768058798593,75.01,0.4332,5.1,5.38
133.2440119763696,71.81,0.2891,5.898,5.891
133.1560119634325,71.9,0.2842,5.849,5.855
133.03187045559352,72.26,0.2846,5.8420000000000005,5.8839999999999995
146.12721083764748,68.34,0.7748,5.7920000000000025,2.692
135.09292598736081,-105.86,0.3446,5.157,5.471
136.3028602463547,118.19,0.34,5.193,5.238
139.24665507566985,133.67,0.4687,5.852,3.946
202.37447027449844,-161.1,0.8,1.237,1.514
137.35764087822523,152.68,0.5069,4.646,5.8729999999999976
133.1172583650447,73.9,0.2838,5.8729999999999976,5.893
133.28840291899726,70.72,0.2852,5.858,5.892
138.77609957683262,4.24,0.3396,4.548,4.699
138.19373738852192,59.43,0.6946,4.583,3.78
133.06984399746278,67.09,0.2827,5.881,5.897
133.19803498854165,71.56,0.2847,5.862,5.891
206.37698419646546,-170.38,0.2485,2.196,1.3330000000000002
141.39480420276462,46.56,0.4747,4.985,4.248
132.92415197502822,73.61,0.2852,5.836,5.879
133.24404089193408,73.41,0.2859,5.8370000000000015,5.867999999999999
133.17614671899108,73.77,0.2847,5.834,5.881
139.26538305303308,-55.73,0.249,5.88,4.136
139.5383704607663,135.84,0.4876,5.886,5.862
133.04703613492148,71.45,0.2861,5.843,5.872000000000001
132.91705653116873,76.95,0.2877,5.896,5.886
