f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"224,792645","-131,95","0,353","0,859","0,4069","224,792645"
"140,402756","46,23","5,424","5,83","0,7507","140,402756"
"153,181082",0,3,3,"0,5","140,402756"
"137,745553","179,71","5,86","5,833","0,2042","137,745553"
"171,606387","177,37","5,89","0,112","0,7972","137,745553"
"168,038604","179,31","0,138","5,739","0,7957","137,745553"
"135,214373","122,59","5,899","5,899","0,3017","135,214373"
"134,126198","99,94","5,898","5,899","0,3999","134,126198"
"141,660595",180,"5,9","5,9","0,4962","134,126198"
"139,814256","-179,97","5,844","5,878","0,4474","134,126198"
"170,802035","178,66","5,84","0,31","0,2231","134,126198"
"171,195597","170,39","0,18","5,858","0,2032","134,126198"
"137,495362","40,88","5,899","5,314","0,4958","134,126198"
"135,719836","40,94","5,866","5,889","0,3388","134,126198"
"133,858776","90,62","5,875","5,9","0,3908","133,858776"
"150,363357","-177,33","2,054","5,81","0,799","133,858776"
"142,494981","103,78","2,677","5,896","0,5087","133,858776"
"145,303055","-162,23","5,321","5,893","0,7794","133,858776"
"135,515713","48,73","4,941","5,9","0,4413","133,858776"
"133,564751","82,84","5,9","5,898","0,3844","133,564751"
"133,547997","75,09","5,9","5,9","0,3895","133,547997"
"133,539682","75,18","5,9","5,9","0,3888","133,539682"
"133,630297","74,83","5,9","5,734","0,3881","133,539682"
"133,559387","74,57","5,9","5,9","0,3867","133,539682"
"133,537444","75,19","5,9","5,9","0,3888","133,537444"
"133,53708","75,19","5,818","5,9","0,3888","133,53708"
"162,435666","-168,97","1,058","5,899","0,2104","133,53708"
"139,049053","-76,75","3,486","5,884","0,594","133,53708"
"135,757956","-77,1","5,775","5,877","0,6022","133,53708"
"133,703082","80,62","5,887","5,899","0,3943","133,53708"
"133,400768","75,65","5,239","5,875","0,2911","133,400768"
"133,276541","76,98","5,85","5,853","0,334","133,276541"
"166,1242","-146,1","5,84","0,828","0,7812","133,276541"
"138,374888","-95,77","4,365","5,889","0,2069","133,276541"
"134,552834","-73,38","4,847","5,851","0,4095","133,276541"
"133,436322","79,03","5,533","5,898","0,3155","133,276541"
"133,598065","77,88","5,834","5,881","0,3655","133,276541"
"134,986387","51,26","5,9","5,9","0,2","133,276541"
"172,536205","-179,59","5,794","0,318","0,2148","133,276541"
"144,145212","-40,78","5,858","2,792","0,287","133,276541"
"135,991354","-48,82","5,838","4,789","0,2391","133,276541"
"133,31186","82,33","5,663","5,893","0,3346","133,276541"
"136,114241","45,24","5,113","4,908","0,2375","133,276541"
"236,566486",-180,"0,1","0,1","0,8","133,276541"
"133,930262","84,77","5,848","5,54","0,3322","133,276541"
"133,463471","79,32","5,88","5,9","0,3319","133,276541"
"133,076857","72,24","5,819","5,859","0,3323","133,076857"
"133,174032","68,8","5,787","5,809","0,3299","133,076857"
"133,109912","71,18","5,816","5,872","0,336","133,076857"
"152,581971","174,88","3,248","3,17","0,7969","133,076857"
"147,381307","166,41","5,895","2,465","0,519","133,076857"
"145,009841","-6,58","5,822","2,775","0,6379","133,076857"
"133,197627","72,62","5,769","5,857","0,3299","133,076857"
"133,179479","73,18","5,83","5,839","0,3333","133,076857"
"133,281258","69,88","5,785","5,867","0,3316","133,076857"
"147,2259","179,86","3,491","3,641","0,3353","133,076857"
"140,302576","128,19","4,329","4,289","0,6066","133,076857"
"140,295285","-23,27","4,858","3,921","0,4376","133,076857"
"133,327568","76,19","5,732","5,865","0,3364","133,076857"
"136,752256","131,6","5,885","4,902","0,2347","133,076857"
"136,799024","108,92","4,999","4,913","0,2766","133,076857"
"147,879116","37,51","2,134","5,876","0,7977","133,076857"
"145,669959","179,3","4,214","5,898","0,7759","133,076857"
"142,81313","5,53","3,118","5,766","0,315","133,076857"
"133,295655","74,36","5,809","5,842","0,3275","133,076857"
