f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"161,508426","-95,17","0,936","5,859","0,2356","161,508426"
"160,528844","2,59","5,704","0,862","0,7413","160,528844"
"153,181082",0,3,3,"0,5","153,181082"
"236,311435","179,35","0,13","0,153","0,2001","153,181082"
"167,381285","179,56","0,167","5,861","0,7975","153,181082"
"137,454322","177,91","5,852","5,853","0,2034","137,454322"
"134,646489","119,6","5,881","5,898","0,3021","134,646489"
"133,877679","63,17","5,897","5,898","0,3995","133,877679"
"147,999307",-180,"5,9","5,9","0,8","133,877679"
"141,570995","-166,89","5,886","3,736","0,2013","133,877679"
"148,285273","175,29","5,892","5,845","0,7999","133,877679"
"137,929865","-139,22","4,123","5,874","0,4575","133,877679"
"139,528709","4,72","5,897","5,888","0,3008","133,877679"
"136,576251","122,34","5,886","5,894","0,4404","133,877679"
"133,803033","66,17","5,9","5,9","0,4018","133,803033"
"167,033841","-175,62","0,124","5,764","0,7925","133,803033"
"138,625913","-55,07","5,871","3,895","0,608","133,803033"
"141,473186","28,64","3,758","5,894","0,6434","133,803033"
"141,890316","9,74","5,899","5,893","0,4981","133,803033"
"133,580708","82,17","5,781","5,801","0,3717","133,580708"
"133,618152","79,53","5,9","5,9","0,3771","133,580708"
"133,690027","82,13","5,9","5,659","0,3715","133,580708"
"134,015975","93,81","5,727","5,861","0,378","133,580708"
"133,609231","78,27","5,769","5,819","0,363","133,580708"
"133,634784","79,92","5,76","5,79","0,3749","133,580708"
"133,707924","83,57","5,777","5,812","0,3709","133,580708"
"152,964334","-177,29","3,094","3,257","0,7839","133,580708"
"163,1923","-177,91","5,857","0,985","0,4649","133,580708"
"139,337871","-172,76","5,707","4,324","0,4288","133,580708"
"133,504543","76,34","5,882","5,77","0,3691","133,504543"
"134,861006","109,76","5,8","5,804","0,3937","133,504543"
"133,446971","75,43","5,75","5,664","0,3525","133,446971"
"158,047062","74,35","5,876","1,351","0,2034","133,446971"
"141,230132","-23,17","5,805","3,267","0,3408","133,446971"
"139,763853","-118,11","4,038","4,904","0,6807","133,446971"
"133,452125","76,17","5,76","5,552","0,3362","133,446971"
"133,583803","81,17","5,714","5,529","0,2966","133,446971"
"134,095703","92,35","5,816","5,9","0,3994","133,446971"
"154,405738","176,06","1,769","5,675","0,3517","133,446971"
"146,369798","158,99","5,756","2,874","0,6134","133,446971"
"140,633916","20,14","3,312","5,834","0,3694","133,446971"
"133,654324","80,9","5,669","5,462","0,3185","133,446971"
"137,125753",127,"5,147","4,71","0,4506","133,446971"
"183,774963","-69,39","3,1","1,434","0,2","133,446971"
"133,448252","68,39","5,711","5,517","0,3626","133,446971"
"133,455371","69,81","5,767","5,706","0,3488","133,446971"
"133,42295","75,32","5,698","5,673","0,3515","133,42295"
"133,476698","74,62","5,738","5,647","0,3536","133,42295"
"133,431406","75,75","5,749","5,664","0,3512","133,42295"
"142,994764","46,06","4,243","3,386","0,7984","133,42295"
"137,805327","-113,4","4,755","5,683","0,2058","133,42295"
"139,724573","-33,91","4,254","4,688","0,4969","133,42295"
"133,477608","80,95","5,828","5,678","0,3157","133,42295"
"133,382123","75,92","5,759","5,664","0,3399","133,382123"
"133,401065","75,19","5,726","5,68","0,345","133,382123"
"147,014114",177,"2,776","4,487","0,6115","133,382123"
"136,550055","81,31","5,692","4,854","0,6618","133,382123"
"136,8282","-165,97","5,89","5,893","0,3049","133,382123"
"133,584579","78,14","5,87","5,626","0,3344","133,382123"
"133,694189","77,23","5,738","5,646","0,3422","133,382123"
"133,416324","74,76","5,771","5,67","0,34","133,382123"
"165,213079","-21,02","0,535","5,679","0,5714","133,382123"
"138,443145","152,83","3,798","5,866","0,2882","133,382123"
"138,3807","38,53","5,87","3,904","0,4981","133,382123"
"133,352774","75,03","5,708","5,703","0,325","133,352774"
"139,821193","15,7","4,798","4,75","0,2275","133,352774"
"143,556144",180,"3,122","5,9","0,575","133,352774"
"133,487261","78,89","5,713","5,858","0,3284","133,352774"
"133,450156","76,32","5,638","5,658","0,3252","133,352774"
"133,415473","76,6","5,735","5,689","0,3232","133,352774"
"133,335418","75,62","5,704","5,721","0,3254","133,335418"
"133,320467","75,2","5,704","5,729","0,3256","133,320467"
"144,925468","-36,93","5,687","5,369","0,799","133,320467"
"137,424777","-126,05","5,886","5,737","0,5759","133,320467"
"134,156894","-82,96","5,606","5,354","0,4162","133,320467"
"133,413018","76,47","5,708","5,769","0,3371","133,320467"
"136,082369","127,71","5,898","5,81","0,3336","133,320467"
"135,392686","111,28","5,646","4,946","0,3667","133,320467"
"150,009526","-171,6","5,854","2,71","0,7973","133,320467"
"135,01054","68,4","4,318","5,895","0,487","133,320467"
"135,030125","-71,39","5,895","4,649","0,2504","133,320467"
"133,404484","76,87","5,538","5,704","0,342","133,320467"
"133,397586","76,09","5,699","5,736","0,3304","133,320467"
