f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"162,510621","-168,39","0,653","5,65","0,7424","162,510621"
"171,183358","66,69","4,879","0,114","0,2164","162,510621"
"153,181082",0,3,3,"0,5","153,181082"
"168,493167","177,76","0,131","5,656","0,7998","153,181082"
"148,239772","179,07","5,868","5,846","0,7983","148,239772"
"172,457534","-179,29","5,786","0,132","0,7976","148,239772"
"139,813182","120,19","5,891","5,894","0,6993","139,813182"
"136,190485","62,64","5,882","5,88","0,601","136,190485"
"136,944865",-180,"5,9","5,9","0,2","136,190485"
"142,853687","174,25","3,506","5,864","0,2013","136,190485"
"137,515201","23,73","5,856","5,894","0,246","136,190485"
"143,270434","-174,62","5,883","5,899","0,5947","136,190485"
"140,771184","22,56","5,89","5,89","0,5034","136,190485"
"136,262927","65,43","5,876","5,899","0,6285","136,190485"
"135,302271","80,47","5,9","5,9","0,5972","135,302271"
"165,079241","-144,66","0,662","5,839","0,2064","135,302271"
"138,877757","178,72","5,832","5,897","0,3484","135,302271"
"134,738887","-79,43","5,856","5,85","0,202","134,738887"
"135,264584","-101,04","5,899","5,898","0,2016","134,738887"
"136,267716","-55,55","5,897","5,866","0,2005","134,738887"
"136,397072","-92,01","5,229","5,4","0,2002","134,738887"
"133,993402","-79,44","5,876","5,818","0,2632","133,993402"
"134,710154","-79,6","5,9","5,789","0,2015","133,993402"
"134,795932","-80,38","5,739","5,76","0,2029","133,993402"
"134,596012","-79,4","5,862","5,849","0,2096","133,993402"
"134,749836","-78,02","5,865","5,846","0,2048","133,993402"
"141,851234","11,5","3,104","5,893","0,3778","133,993402"
"134,91147","96,96","4,485","5,89","0,4155","133,993402"
"138,315536","134,65","5,686","5,886","0,4835","133,993402"
"134,462841","-88,49","5,895","5,845","0,2511","133,993402"
"133,525608","-68,3","5,849","5,859","0,2795","133,525608"
"133,748084","-64,54","5,826","5,9","0,2898","133,525608"
"148,906573","-169,51","5,793","2,296","0,4217","133,525608"
"141,872775","4,05","5,884","3,142","0,3591","133,525608"
"139,146769","1,44","4,806","4,802","0,3686","133,525608"
"133,696267","-70,01","5,896","5,827","0,2816","133,525608"
"133,680774","-66,19","5,717","5,84","0,2751","133,525608"
"133,602205","-67,06","5,842","5,9","0,2741","133,525608"
"142,545809","-60,8","3,589","5,89","0,7992","133,525608"
"138,503412","62,64","3,406","5,894","0,6389","133,525608"
"136,104157","107,27","4,53","5,896","0,5654","133,525608"
"133,780697","-71,94","5,782","5,882","0,2792","133,525608"
"133,60865","-66,65","5,843","5,843","0,2777","133,525608"
"133,559568","-67,93","5,849","5,866","0,2809","133,525608"
"133,764015","-70,12","5,807","5,855","0,2795","133,525608"
"133,521191","-68,4","5,859","5,877","0,2781","133,521191"
"133,511272","-68,56","5,86","5,853","0,2796","133,511272"
"133,546946","-68,95","5,859","5,853","0,2795","133,511272"
"139,37409","-61,62","5,82","3,229","0,7149","133,511272"
"141,187318","-35,09","4,605","4,851","0,6269","133,511272"
"136,279986","-105,99","5,891","4,266","0,4368","133,511272"
"133,580634","-67,28","5,877","5,87","0,2792","133,511272"
"133,556143","-68,04","5,861","5,879","0,2765","133,511272"
"133,543936","-68,27","5,862","5,866","0,2786","133,511272"
"147,927415","147,81","5,877","2,525","0,6209","133,511272"
"141,121559","22,02","5,893","3,728","0,5613","133,511272"
"137,829502","-164,73","5,802","5,748","0,3893","133,511272"
"133,544079","-68,3","5,847","5,892","0,2776","133,511272"
"135,569112","-127,95","4,905","5,9","0,3727","133,511272"
"152,521924",180,"4,16","2,565","0,8","133,511272"
"139,486539","65,15","4,895","3,977","0,7881","133,511272"
"145,813224","-35,43","5,857","5,869","0,7754","133,511272"
"134,958383","-71,9","5,893","4,391","0,2963","133,511272"
"134,121139","-85,07","5,883","5,147","0,3098","133,511272"
"133,538248","-68,12","5,859","5,861","0,2809","133,511272"
"133,520228","-68,62","5,859","5,883","0,2773","133,511272"
"133,564203","-67,56","5,862","5,837","0,2792","133,511272"
"133,535287","-68,06","5,861","5,845","0,2794","133,511272"
"133,516735","-68,48","5,863","5,857","0,2793","133,511272"
"145,767748","167,69","5,246","3,208","0,2083","133,511272"
"137,036105","116,15","4,965","4,955","0,2311","133,511272"
"136,824763","67,02","4,87","4,611","0,6327","133,511272"
"133,509708","-68,74","5,87","5,894","0,2792","133,509708"
"133,5545","-69,13","5,871","5,895","0,2782","133,509708"
"133,515274","-68,76","5,864","5,887","0,279","133,509708"
