f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"140,175892","131,43","5,597","5,411","0,6738","140,175892"
"232,647504","-131,12","0,507","0,13","0,3466","140,175892"
"153,181082",0,3,3,"0,5","140,175892"
"137,181797","-178,37","0,121","5,853","0,2032","137,181797"
"172,02899","179,82","5,774","0,148","0,215","137,181797"
"172,163086","-176,39","0,121","0,17","0,7981","137,181797"
"134,616583","-119,14","5,899","5,896","0,3021","134,616583"
"135,073447","-60,43","5,899","5,896","0,401","134,616583"
"148,337251",180,"5,9","5,9","0,8","134,616583"
"152,972762","178,2","5,894","5,888","0,2061","134,616583"
"146,096048","-177,64","5,892","5,86","0,794","134,616583"
"138,029338","166,23","5,882","4,138","0,3106","134,616583"
"134,356692","-59,98","5,886","5,889","0,2328","134,356692"
"139,340288","-4,39","5,898","5,897","0,2819","134,356692"
"134,601527","-88,25","5,9","5,9","0,2","134,356692"
"139,527879","-56,89","5,849","3,762","0,728","134,356692"
"156,610386","161,14","1,772","1,522","0,679","134,356692"
"144,522709","-175,7","5,887","5,797","0,6464","134,356692"
"133,769335","-76,98","5,898","5,082","0,3302","133,769335"
"133,776344","-83,68","5,894","5,469","0,276","133,769335"
"133,842781","-83,64","5,9","5,224","0,3422","133,769335"
"133,764508","-76,98","5,877","5,082","0,3302","133,764508"
"133,751597","-76,58","5,9","5,085","0,3303","133,751597"
"137,630928","-35,25","5,896","5,332","0,3353","133,751597"
"135,278451","-55,91","5,9","5,208","0,3328","133,751597"
"133,880574","-74,61","5,891","4,962","0,3488","133,751597"
"173,986183","32,05","5,898","5,887","0,7875","133,751597"
"136,80699","55,29","5,82","4,31","0,5359","133,751597"
"139,844585","156,5","5,854","5,866","0,4741","133,751597"
"134,438593","-90,5","5,897","5,869","0,2548","133,751597"
"133,62134","-87,53","4,941","5,407","0,3114","133,62134"
"133,632365","-87,35","0,1","5,408","0,3148","133,62134"
"159,142016","-151,45","2,108","5,884","0,2741","133,62134"
"143,271242","-38,09","5,604","5,888","0,5777","133,62134"
"136,498036","-62,91","3,632","4,316","0,5322","133,62134"
"133,792493","-83,27","5,899","5,352","0,2928","133,62134"
"133,713754","-86,77","4,946","5,551","0,2959","133,62134"
"134,39134","-90,49","3,644","5,458","0,3025","133,62134"
"151,933196","10,77","4,072","1,984","0,3011","133,62134"
"138,157944","69,32","3,458","5,13","0,3673","133,62134"
"145,389287",9,"5,785","5,883","0,6965","133,62134"
"133,493894","-75,21","5,101","5,612","0,2937","133,493894"
"136,085789","-133,8","5,719","5,899","0,3919","133,493894"
"236,566486",180,"5,896","0,1","0,8","133,493894"
"133,65032","-74,6","5,469","5,611","0,2941","133,493894"
"133,504219","-74,97","5,773","5,614","0,2938","133,493894"
"133,274717","-73,76","5,62","5,555","0,2969","133,274717"
"133,55247","-74,58","5,687","5,602","0,2946","133,274717"
"133,507201","-75,08","5,737","5,606","0,2931","133,274717"
"150,797453","-179,06","3,426","2,129","0,4105","133,274717"
"144,530999","-50,35","4,259","5,852","0,2032","133,274717"
"136,555845","152,04","4,927","5,846","0,2817","133,274717"
"133,401833","-75,65","5,567","5,421","0,3067","133,274717"
"134,918665","-93,29","5,822","5,899","0,2959","133,274717"
"133,951696","-78,65","5,717","5,555","0,3066","133,274717"
"146,830855","166,3","0,358","3,169","0,4971","133,274717"
"145,789893","-15,74","5,838","2,287","0,5374","133,274717"
"139,406806","-162,67","4,876","4,528","0,4905","133,274717"
"133,347028","-73,27","5,428","5,475","0,2951","133,274717"
"140,089816","-14,93","5,241","5,897","0,2006","133,274717"
"202,091344","-50,88","5,874","0,1","0,2","133,274717"
"147,80533","0,87","1,607","3,913","0,7856","133,274717"
"140,432572","83,05","3,118","3,583","0,7719","133,274717"
"137,18204","113,57","5,897","4,651","0,4886","133,274717"
"133,994303","-79,71","5,301","5,326","0,3107","133,274717"
"133,592236","-75,79","5,303","5,501","0,2949","133,274717"
"133,456186","-68,51","5,349","5,474","0,3009","133,274717"
"133,273067","-73,74","5,186","5,555","0,2969","133,273067"
"133,670686","-70,67","5,194","5,543","0,2925","133,273067"
"133,299865","-73,14","5,328","5,547","0,2987","133,273067"
"133,349858","-74,27","5,283","5,55","0,2981","133,273067"
"133,277837","-73,37","5,289","5,551","0,2966","133,273067"
"156,41806","175,75","5,601","5,706","0,5299","133,273067"
"144,63053","-175,99","4,201","3,803","0,6903","133,273067"
"139,785234","44,82","4,256","4,054","0,6311","133,273067"
"133,448996","-73,86","5,56","5,566","0,296","133,273067"
"133,66258","-70,17","5,306","5,485","0,2976","133,273067"
"133,279915","-73,19","5,304","5,549","0,2976","133,273067"
"151,326673","-160,23","3,072","3,471","0,2013","133,273067"
"136,907821","50,65","4,567","3,98","0,3355","133,273067"
"139,179769","25,68","4,382","5,843","0,4736","133,273067"
"133,438958","-74,02","5,592","5,545","0,2983","133,273067"
"133,572438","-72,43","5,399","5,555","0,2993","133,273067"
"133,657888","-71,66","5,308","5,463","0,3011","133,273067"
"143,556655","-168,45","5,635","5,028","0,4959","133,273067"
"138,470204","-66,92","3,499","4,723","0,3685","133,273067"
"134,116596","83,97","4,984","5,254","0,3725","133,273067"
"133,319227","-73,58","5,288","5,54","0,2972","133,273067"
