f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"181,115429","-175,17","0,138","4,104","0,2987","181,115429"
"145,968135","95,16","5,533","2,509","0,7939","145,968135"
"153,181082",0,3,3,"0,5","145,968135"
"172,70517","179,9","5,88","0,112","0,2033","145,968135"
"235,558834","178,8","0,185","0,106","0,7985","145,968135"
"137,791362","179,37","5,83","5,893","0,2032","137,791362"
"134,69361","119,97","5,888","5,864","0,3018","134,69361"
"134,056016","61,08","5,893","5,899","0,4003","134,056016"
"147,999307",-180,"5,9","5,9","0,8","134,056016"
"143,982047","-177,05","5,869","3,414","0,2054","134,056016"
"137,105964","-99,25","5,887","4,015","0,5248","134,056016"
"142,326691","40,57","5,81","5,81","0,7665","134,056016"
"140,727507","2,94","5,9","5,043","0,4509","134,056016"
"135,954014","120,01","5,895","5,898","0,42","134,056016"
"133,99598","53,79","5,9","5,9","0,2709","133,99598"
"172,16908","-173,59","5,884","0,175","0,7899","133,99598"
"134,710586","-128,35","5,815","5,886","0,2906","133,99598"
"138,839503","-40,21","5,899","4,297","0,2039","133,99598"
"133,48029","78,21","5,897","5,889","0,33","133,48029"
"137,10517","135,09","4,943","5,879","0,4285","133,48029"
"166,972717",-180,"0,1","5,9","0,8","133,48029"
"133,481274","78,2","5,9","5,887","0,33","133,48029"
"133,478276","78,22","5,9","5,893","0,33","133,478276"
"133,27753","76,79","5,896","5,9","0,3336","133,27753"
"133,77459","60,49","5,891","5,9","0,3594","133,27753"
"133,612958","84,98","5,894","5,899","0,3466","133,27753"
"165,313046","80,43",1,"5,889","0,2064","133,27753"
"141,253879","-115,38","3,038","5,895","0,5028","133,27753"
"141,826297","-178,87","5,884","5,894","0,5222","133,27753"
"133,399132","58,52","5,895","5,894","0,3122","133,27753"
"133,159172","73,71","5,897","5,898","0,3372","133,159172"
"133,086319","70,89","5,895","5,9","0,3393","133,086319"
"141,383807","-44,78","3,461","5,786","0,2466","133,086319"
"137,693714","-64,94","4,858","5,884","0,6303","133,086319"
"135,297286",-71,"4,609","5,815","0,4199","133,086319"
"138,510432","11,93","5,889","5,898","0,3045","133,086319"
"134,038235","54,95","5,694","5,899","0,3365","133,086319"
"133,899735","56,56","5,9","5,9","0,333","133,086319"
"155,766347","148,57","1,334","5,892","0,7644","133,086319"
"144,385745","136,77","5,864","2,809","0,4792","133,086319"
"138,254723","76,14","3,445","5,773","0,6349","133,086319"
"133,422817","77,83","5,892","5,898","0,2848","133,086319"
"133,297203","69,87","5,887","5,897","0,3362","133,086319"
"133,123662","72,1","5,9","5,9","0,3431","133,086319"
"133,086319","70,89","5,895","5,9","0,3393","133,086319"
"133,086319","70,89","5,895","5,9","0,3393","133,086319"
"133,118092","71,51","5,896","5,9","0,3387","133,086319"
"174,015705","-56,25","5,859","0,102","0,3919","133,086319"
"143,489472","170,88","5,578","4,582","0,6701","133,086319"
"141,830469","21,64","4,766","3,916","0,6416","133,086319"
"133,136089","71,01","5,9","5,894","0,3419","133,086319"
"133,328289","74,69","5,86","5,9","0,3435","133,086319"
"133,241205","66,16","5,849","5,899","0,2946","133,086319"
"153,852655","-168,33","2,945","3,236","0,7909","133,086319"
"145,514847","-66,03","2,508","5,658","0,7774","133,086319"
"137,63688","38,91","4,037","5,818","0,4598","133,086319"
"133,260133","66,38","5,895","5,896","0,3061","133,086319"
"133,319231","69,93","5,889","5,895","0,3405","133,086319"
"133,120072","71,34","5,9","5,9","0,34","133,086319"
"153,497659","118,8","3,773","3,365","0,2101","133,086319"
"137,86275","-69,84","5,888","4,3","0,7823","133,086319"
"135,048467","82,71","5,276","5,764","0,596","133,086319"
"133,069504","74,22","5,893","5,899","0,2991","133,069504"
"133,073694","72,94","5,899","5,898","0,2955","133,069504"
"133,071622","73,15","5,9","5,9","0,2983","133,069504"
"133,071936","74,24","5,893","5,9","0,2991","133,069504"
"133,223198","74,39","5,9","5,893","0,2991","133,069504"
"133,06988","74,08","5,887","5,9","0,2992","133,069504"
"133,218896","74,44","5,89","5,897","0,298","133,069504"
"142,891649","-168,15","3,883","3,841","0,3804","133,069504"
"142,456934","-177,61","4,179","4,443","0,6238","133,069504"
"136,437801","-131,53","5,257","4,696","0,3901","133,069504"
"132,983497","70,58","5,877","5,892","0,2981","132,983497"
"133,044112","68,74","5,899","5,898","0,2985","132,983497"
"132,963263","70,85","5,878","5,9","0,2982","132,963263"
"137,98753","85,55","5,891","3,714","0,2903","132,963263"
"140,782767","4,81","4,355","4,192","0,3279","132,963263"
"138,324245","-57,64","4,288","4,456","0,5314","132,963263"
"132,996213","71,02","5,888","5,895","0,2987","132,963263"
"133,002485","71,18","5,877","5,897","0,2981","132,963263"
"133,000395","70,9","5,879","5,9","0,2981","132,963263"
"141,754388","109,77","3,423","5,897","0,2334","132,963263"
"138,011405","-171,73","3,862","5,819","0,2805","132,963263"
