f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"207,620114","-140,6","1,939","1,125","0,2559","207,620114"
"141,975441","132,27","4,601","5,493","0,7927","141,975441"
"153,181082",0,3,3,"0,5","141,975441"
"235,924492","178,01","0,12","0,138","0,7951","141,975441"
"171,471077","179,89","0,107","5,887","0,205","141,975441"
"171,984505","178,73","5,895","0,148","0,2134","141,975441"
"136,157484","74,36","5,55","5,891","0,6937","136,157484"
"140,31827","133,48","5,896","5,891","0,597","136,157484"
"141,611198","-146,18","5,9","5,9","0,6636","136,157484"
"138,068424","-37,52","5,887","5,858","0,2018","136,157484"
"137,734859","179,67","5,88","5,876","0,2209","136,157484"
"141,409312","-26,11","5,745","5,883","0,4776","136,157484"
"139,248404","52,82","5,862","5,895","0,7208","136,157484"
"137,392261","52,83","4,594","5,9","0,6378","136,157484"
"135,784038","83,69","5,211","5,9","0,6817","135,784038"
"162,281208","-169,75","0,604","5,898","0,7918","135,784038"
"146,238478","-179,18","2,392","5,844","0,3396","135,784038"
"142,331126","60,57","2,895","5,886","0,3156","135,784038"
"135,726629","83,11","5,394","5,895","0,6924","135,726629"
"135,776262","83,82","5,31","5,896","0,6884","135,726629"
"135,907882","86,82","5,414","5,9","0,6924","135,726629"
"135,723564","83,08","5,393","5,9","0,6925","135,723564"
"135,910639","80,38","5,397","5,9","0,6923","135,723564"
"135,753527","83,24","5,379","5,887","0,6959","135,723564"
"135,770106","83,29","5,377","5,896","0,6915","135,723564"
"135,848795","83,58","5,399","5,897","0,6924","135,723564"
"139,966263","76,49","5,894","3,023","0,3584","135,723564"
"143,578061","-79,09","2,529","5,861","0,6031","135,723564"
"136,301151","100,39","4,609","4,864","0,4288","135,723564"
"135,987619","86,43","5,17","5,891","0,7001","135,723564"
"139,697687","109,21","5,895","4,951","0,7911","135,723564"
"236,844544",-180,"0,1","0,1","0,4481","135,723564"
"152,743354","-89,92","5,88","1,616","0,7957","135,723564"
"146,291376","-173,51","5,899","2,59","0,3993","135,723564"
"137,989746","-170,05","5,807","5,814","0,3621","135,723564"
"135,841932","84,48","5,235","5,897","0,6905","135,723564"
"135,704094","83,09","5,277","5,89","0,6879","135,704094"
"133,592468","89,54","5,9","5,9","0,3343","133,592468"
"142,787811","-12,05","5,856","3,54","0,6202","133,592468"
"139,477594","-76,28","4,006","4,409","0,3205","133,592468"
"139,140777","4,21","5,588","4,585","0,3349","133,592468"
"133,740824","91,8","5,887","5,9","0,3338","133,592468"
"133,591964",89,"5,895","5,896","0,3344","133,591964"
"133,572972","88,34","5,889","5,897","0,3351","133,572972"
"133,563455","88,17","5,891","5,9","0,3351","133,563455"
"133,464183","87,97","5,9","5,899","0,336","133,464183"
"133,708244","86,8","5,9","5,893","0,3418","133,464183"
"133,492556","87,39","5,9","5,896","0,3389","133,464183"
"133,67202","87,27","5,9","5,886","0,3354","133,464183"
"167,249007","179,18","5,886","0,595","0,7496","133,464183"
"139,401349","-75,62","4,158","4,552","0,7986","133,464183"
"140,220567","-177,32","4,108","5,872","0,5227","133,464183"
"133,589337","90,38","5,875","5,896","0,3398","133,464183"
"134,747501","109,35","5,339","5,645","0,3406","133,464183"
"142,414063","136,88","5,697","5,9","0,6992","133,464183"
"167,766784","160,19","0,296","5,873","0,6751","133,464183"
"145,463174",168,"5,667","3,062","0,6093","133,464183"
"141,499737","-13,46","4,067","4,742","0,5071","133,464183"
"133,850093","92,32","5,884","5,896","0,3402","133,464183"
"133,591927","88,64","5,841","5,898","0,3371","133,464183"
