f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"223,460419","-173,86","0,682","0,899","0,2631","223,460419"
"145,035117","153,23","4,375","3,87","0,7593","145,035117"
"153,181082",0,3,3,"0,5","145,035117"
"137,509729","175,86","5,844","5,889","0,203","137,509729"
"148,123738","-177,45","5,881","5,899","0,7977","137,509729"
"166,028725","-170,57","0,135","5,881","0,7985","137,509729"
"138,309828","178,68","5,879","5,893","0,3018","137,509729"
"137,780005","179,87","5,882","5,892","0,2004","137,509729"
"148,337251",180,"5,9","5,9","0,8","137,509729"
"170,636303","179,73","0,174","5,897","0,2175","137,509729"
"135,446856","-147,4","5,834","5,832","0,2455","135,446856"
"149,281365","12,35","5,89","2,659","0,2055","135,446856"
"134,961597","-88,75","5,899","5,882","0,2036","134,961597"
"138,541329","-30,1","5,03","5,725","0,3024","134,961597"
"167,310229",180,"0,144","5,9","0,8","134,961597"
"172,652268","-175,55","5,898","0,12","0,7978","134,961597"
"144,788473","5,49","5,877","5,876","0,6258","134,961597"
"136,747925","82,65","5,882","3,907","0,4488","134,961597"
"134,223202","-59,94","5,885","5,888","0,2938","134,223202"
"134,326418","-88,68","5,896","5,899","0,2773","134,223202"
"135,388339","-54,55","5,9","5,9","0,2812","134,223202"
"134,179723","-60,05","5,9","5,826","0,2941","134,179723"
"134,226756","-60,68","5,527","5,797","0,2946","134,179723"
"133,885233","-63,4","5,892","5,883","0,312","133,885233"
"133,523088","-74,59","5,898","5,881","0,3079","133,523088"
"133,859912","-63,95","5,803","5,86","0,3126","133,523088"
"144,532522","-179,01","5,766","3,026","0,5185","133,523088"
"142,405179","-179,96","2,987","5,874","0,5277","133,523088"
"140,886559","-167,85","5,65","5,899","0,5255","133,523088"
"133,978208","-84,21","5,622","5,621","0,3082","133,523088"
"133,448823","-74,01","5,828","5,822","0,304","133,448823"
"133,595992","-76,02","5,797","5,82","0,3038","133,448823"
"169,655483","175,26","5,896","0,102","0,6088","133,448823"
"142,401614","136,76","2,823","5,895","0,4952","133,448823"
"136,755356","-56,94","5,819","4,224","0,4958","133,448823"
"133,554843","-76,16","5,895","5,525","0,3131","133,448823"
"133,679838","-72,06","5,863","5,76","0,304","133,448823"
"134,020454","-82,2","5,9","5,077","0,3312","133,448823"
"149,697136","-12,7","2,646","5,723","0,7835","133,448823"
"142,507808","-25,72","3,536","5,693","0,5172","133,448823"
"140,904136","167,93","4,959","5,247","0,5653","133,448823"
"133,725061","-83,56","5,897","5,735","0,3313","133,448823"
"136,58912","-131,41","4,922","4,892","0,3985","133,448823"
"237,042291",180,"0,1","0,1","0,2","133,448823"
"133,34325","-72,85","5,837","5,858","0,2958","133,34325"
"133,721466","-71,93","5,807","5,841","0,3049","133,34325"
"133,545385","-74,6","5,844","5,833","0,3042","133,34325"
"133,452875","-73,95","5,828","5,823","0,3028","133,34325"
"147,509198","-12,81","5,892","2,336","0,7826","133,34325"
"150,070274","-132,15","2,496","5,874","0,2239","133,34325"
"134,714607","93,13","4,567","5,859","0,3981","133,34325"
"133,681845","-86,26","5,899","5,406","0,3403","133,34325"
"133,467717","-77,45","5,88","5,835","0,3065","133,34325"
"133,58029","-74,36","5,839","5,845","0,2941","133,34325"
"152,85428","-175,98","3,206","3,18","0,795","133,34325"
"141,687981","-43,52","4,275","4,04","0,7001","133,34325"
"135,015238","67,95","5,9","4,688","0,2344","133,34325"
"133,695793","-83,88","5,873","5,668","0,3131","133,34325"
"141,063745","-14,28","4,888","4,903","0,2014","133,34325"
"174,296255",-180,"5,9","0,1","0,2","133,34325"
"159,934042","176,31","2,941","3,538","0,2086","133,34325"
"138,596627","175,19","4,613","4,201","0,3529","133,34325"
"138,793772","17,52","5,888","5,039","0,3938","133,34325"
"133,707072","-83,79","5,893","5,51","0,326","133,34325"
"139,359421","-37,74","4,91","5,86","0,2008","133,34325"
"174,040505",-180,"0,1","4,863","0,3123","133,34325"
"133,552391","-68,67","5,799","5,887","0,2971","133,34325"
"133,686375","-71,6","5,872","5,846","0,296","133,34325"
"133,316044","-73,34","5,842","5,875","0,2965","133,316044"
"133,641009","-72,61","5,829","5,862","0,2959","133,316044"
"150,978355","44,67","2,228","5,845","0,2507","133,316044"
"137,894819","54,32","4,254","4,336","0,5623","133,316044"
"135,264345","118,06","5,518","4,903","0,3547","133,316044"
"134,724817","-111,31","5,897","5,878","0,3156","133,316044"
"133,479606","-77,13","5,886","5,83","0,3082","133,316044"
"133,539274","-76,27","5,853","5,854","0,298","133,316044"
"153,727744","1,49","5,807","1,463","0,5056","133,316044"
"147,238801","121,92","5,868","2,413","0,639","133,316044"
"138,991553","109,98","4,288","5,531","0,2055","133,316044"
"133,363323","-73,6","5,836","5,674","0,3195","133,316044"
"133,428392","-74,16","5,836","5,677","0,3199","133,316044"
"133,421914","-74,2","5,854","5,657","0,3218","133,316044"
"147,515404","-179,27","5,867","2,989","0,2022","133,316044"
"141,500129","41,82","4,152","3,722","0,3377","133,316044"
"137,309443","92,03","4,517","4,424","0,434","133,316044"
"133,52391","-68,66","5,802","5,588","0,3185","133,316044"
"133,317082",-73,"5,847","5,616","0,3179","133,316044"
"133,308731","-73,4","5,849","5,863","0,2964","133,308731"
"133,35562","-72,81","5,861","5,87","0,2947","133,308731"
"133,447395","-73,94","5,847","5,862","0,2956","133,308731"
"133,312821","-73,2","5,851","5,863","0,2968","133,308731"
