f(x),orientation,winE,winW,transmitance,Cálculo Gráfico,,
"133,143552","72,71","5,89","5,859","0,284","132,979349",,
"133,00512","72,11","5,89","5,878","0,282","132,979349",,
"133,021461","70,91","5,895","5,872","0,2816","132,979349",,
"132,967973","70,89","5,9","5,889","0,2791","132,967973",,
"133,019119","71,27","5,897","5,885","0,2778","132,967973",,
"132,966499","70,75","5,894","5,892","0,2791","132,966499",,
"143,977442","178,13","3,192","4,49","0,5167","132,966499",,
"145,256999","91,14","5,862","2,654","0,2796","132,966499",,
"141,035018","179,03","4,428","5,701","0,5498","132,966499",,
"133,202411","69,55","5,891","5,892","0,2804","132,966499",,
"133,020808","71,46","5,861","5,874","0,283","132,966499",,
"133,019","71,51","5,879","5,873","0,2809","132,966499",,
"142,373257","-105,2","3,265","5,881","0,798","132,966499",,
"144,471918","-179,66","4,596","5,105","0,7715","132,966499",,
"136,239175","-45,68","5,889","4,984","0,3214","132,966499",,
"133,088405","73,24","5,859","5,88","0,2836","132,966499",,
"133,023081","71,23","5,882","5,881","0,277","132,966499",,
"133,012707","71,46","5,89","5,882","0,2807","132,966499",,
"158,967536","4,78","1,671","5,873","0,2097","132,966499",,
"145,274262","-25,73","3,45","5,9","0,6709","132,966499",,
"136,438286","44,49","5,892","4,006","0,3885","132,966499",,
"133,019454","70,94","5,895","5,874","0,2797","132,966499",,
"133,004351","70,71","5,877","5,839","0,2793","132,966499",,
"133,014329","71,88","5,852","5,856","0,2802","132,966499",,
"133,214788","69,45","5,899","5,888","0,2783","132,966499",,
"133,205767","70,1","5,896","5,89","0,2787","132,966499",,
"133,000684","71,04","5,893","5,895","0,2794","132,966499",,
"152,948666","-96,05","3,997","2,405","0,6791","132,966499",,
"136,732602","-78,4","4,532","4,604","0,4999","132,966499",,
"137,803448","127,17","5,082","4,777","0,5173","132,966499",,
"133,147912","72,49","5,869","5,88","0,2784","132,966499",,
"133,041201","70,96","5,826","5,842","0,2807","132,966499",,
"133,023742","71,55","5,888","5,863","0,2811","132,966499",,
"173,594711","2,53","0,61","4,256","0,7872","132,966499",,
"138,894982","24,23","5,389","4,336","0,2458","132,966499",,
"136,539142","-119,98","5,499","4,987","0,5401","132,966499",,
"133,007577",71,"5,897","5,884","0,2796","132,966499",,
"133,001945","70,65","5,863","5,86","0,2793","132,966499",,
"133,004968","70,73","5,879","5,855","0,2761","132,966499",,
"165,046824","80,76","0,93","5,89","0,4599","132,966499",,
"138,150849","103,25","3,475","5,665","0,4942","132,966499",,
"136,120209","-103,37","4,899","4,918","0,3848","132,966499",,
"133,030031","70,99","5,87","5,859","0,2807","132,966499",,
"133,274428","70,05","5,886","5,792","0,2764","132,966499",,
"132,983776","70,65","5,844","5,866","0,2789","132,966499",,
"133,019313","71,45","5,886","5,885","0,2773","132,966499",,
"133,014722","71,1","5,89","5,889","0,2782","132,966499",,
"132,967424","70,44","5,896","5,894","0,279","132,966499",,
"145,299351","169,5","3,816","5,423","0,796","132,966499",,
"141,886064","-179,01","3,274","5,845","0,5472","132,966499",,
"135,210217","70,04","4,495","5,353","0,292","132,966499",,
"133,039895","70,98","5,863","5,856","0,2779","132,966499",,
"133,28642","77,05","5,89","5,732","0,3076","132,966499",,
"132,961533","70,66","5,9","5,9","0,279","132,961533",,
"159,262432","163,45","5,834","1,231","0,5657","132,961533",,
"139,078988","-89,22","4,952","4,587","0,2025","132,961533",,
"137,170508","168,15","5,12","5,808","0,2945","132,961533",,
"133,229022","68,94","5,849","5,848","0,2823","132,961533",,
"133,866197","91,5","5,894","5,759","0,2611","132,961533",,
"133,255445","66,82","5,9","5,876","0,2721","132,961533",,
"143,218424","154,82","5,882","5,848","0,6304","132,961533",,
"138,97183","-64,46","4,459","3,89","0,6619","132,961533",,
"133,943243","87,36","5,177","5,705","0,3787","132,961533",,
"133,013089","71,75","5,892","5,876","0,2832","132,961533",,
"133,306289","74,85","5,897","5,739","0,295","132,961533",,
"133,792307","89,87","5,87","5,635","0,3405","132,961533",,
"132,966623","70,88","5,898","5,9","0,2766","132,961533",,
"132,960068","70,77","5,899","5,9","0,2778","132,960068",,
"132,959035","70,72","5,899","5,9","0,2784","132,959035",,
"147,861024",174,"4,201","3,005","0,3657","132,959035",,
"139,828828","174,97","5,899","3,521","0,3639","132,959035",,
"140,948425","-25,96","4,371","5,708","0,4758","132,959035",,
"133,008077","72,06","5,833","5,872","0,2801","132,959035",,
"133,423773","64,77","5,847","5,827","0,2425","132,959035",,
"133,133642","73,11","5,879","5,79","0,2877","132,959035",,
"145,10147","78,27","4,366","2,797","0,5977","132,959035",,
"137,597767","-82,07","4,999","4,879","0,788","132,959035",,
"135,136421","48,88","5,273","4,843","0,3511","132,959035",,
"132,981355","70,88","5,832","5,88","0,2783","132,959035",,
"133,276737","74,34","5,804","5,832","0,2891","132,959035",,
"133,247189","69,79","5,869","5,856","0,2737","132,959035",,
"149,480443","-50,78","2,593","4,397","0,3332","132,959035",,
"139,632671","28,83","5,122","3,913","0,5415","132,959035",,
"136,084317","-136,68","5,051","5,281","0,2585","132,959035",,
"133,005005","72,17","5,826","5,869","0,2775","132,959035",,
"133,263672","75,38","5,885","5,786","0,2893","132,959035",,
"133,012876","71,56","5,898","5,859","0,2804","132,959035",,
"132,964342","70,47","5,882","5,9","0,2785","132,959035",,
"132,966932","70,78","5,883","5,9","0,2787","132,959035",,
"132,96831","70,53","5,882","5,898","0,278","132,959035",,
"145,752454","172,52","5,898","3,211","0,6677","132,959035",,
"139,665371","-179,87","5,867","4,446","0,455","132,959035",,
"135,363571","-135,28","5,644","5,858","0,3211","132,959035",,
"133,206908","70,11","5,883","5,881","0,2889","132,959035",,
"133,217269","70,3","5,895","5,844","0,2789","132,959035",,
"132,973342","70,69","5,873","5,9","0,2768","132,959035",,
"152,892412","-125,26","4,118","2,826","0,3236","132,959035",,
"142,301695","-112,13","3,271","4,73","0,5987","132,959035",,
"139,971376","133,17","4,017","4,385","0,3336","132,959035",,
"133,108377","73,74","5,856","5,844","0,2826","132,959035",,
"133,268608","65,13","5,895","5,77","0,3048","132,959035",,
"133,131288","73,28","5,846","5,816","0,2792","132,959035",,
"142,357235","90,86","3,344","4,275","0,6081","132,959035",,
"136,484828","68,12","4,276","5,135","0,6031","132,959035",,
"136,552719","-70,92","5,245","4,842","0,6438","132,959035",,
"133,015558","71,61","5,894","5,891","0,2789","132,959035",,
"133,100599","68,88","5,896","5,795","0,2887","132,959035",,
"133,260035","74,81","5,833","5,849","0,2827","132,959035",,
"149,64677","-130,63","1,998","5,849","0,3738","132,959035",,
"138,965611","104,43","5,05","3,825","0,3884","132,959035",,
"134,770635","-102,15","5,879","5,142","0,3086","132,959035",,
"133,799487","83,5","5,315","5,629","0,3187","132,959035",,
"133,048551","71,56","5,862","5,829","0,2814","132,959035",,
"132,964739","70,6","5,896","5,896","0,2791","132,959035",,
"143,252552","-53,95","5,172","2,757","0,4169","132,959035",,
"143,526473","-177,48","5,597","5,132","0,6532","132,959035",,
"135,522918","106,51","4,719","5,387","0,4582","132,959035",,
"132,986531","70,59","5,882","5,894","0,2749","132,959035",,
"133,033589","71,53","5,84","5,873","0,2785","132,959035",,
"133,008224","71,3","5,88","5,878","0,2833","132,959035",,
"140,566388","-179,75","3,36","5,163","0,327","132,959035",,
"142,086991","-9,58","3,924","4,887","0,267","132,959035",,
"138,947526","-35,32","5,878","5,855","0,4096","132,959035",,
"133,009271","71,46","5,885","5,887","0,2822","132,959035",,
"133,056001","70,94","5,895","5,79","0,2907","132,959035",,
