f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"183,993793","-121,56","4,521","0,276","0,2046","183,993793"
"147,185901","161,02","2,831","5,15","0,7783","147,185901"
"153,181082",0,3,3,"0,5","147,185901"
"167,202085","-177,65","0,101","5,825","0,7903","147,185901"
"236,554374","179,34","0,135","0,121","0,2001","147,185901"
"137,848782","178,37","5,9","5,892","0,2047","137,848782"
"134,601685","119,07","5,9","5,897","0,3036","134,601685"
"134,108987","60,64","5,896","5,892","0,4016","134,108987"
"147,999307",-180,"5,9","5,9","0,8","134,108987"
"143,687059","33,82","5,858","3,426","0,7925","134,108987"
"146,352705","160,96","5,85","5,882","0,7358","134,108987"
"137,121955","-178,22","5,866","5,891","0,2288","134,108987"
"139,346613","1,45","5,896","5,873","0,3031","134,108987"
"135,608444","119,7","5,898","5,889","0,4137","134,108987"
"133,663935","67,55","5,9","5,9","0,4056","133,663935"
"139,593918","-133,85","3,653","5,84","0,5158","133,663935"
"145,381216","-13,69","5,253","5,887","0,6644","133,663935"
"135,816107","-127,29","5,777","5,884","0,4449","133,663935"
"133,788929","88,85","5,896","5,895","0,3832","133,663935"
"133,878631","77,38","5,894","5,892","0,4087","133,663935"
"133,591404","72,43","5,9","5,9","0,3977","133,591404"
"133,597098","72,5","5,9","5,837","0,3977","133,591404"
"133,590879","72,51","5,9","5,9","0,3977","133,590879"
"133,578956","72,56","5,9","5,9","0,3976","133,578956"
"133,546144","72,56","5,736","5,9","0,3976","133,546144"
"133,545881","72,56","5,818","5,9","0,3976","133,545881"
"168,372331","143,42","0,791","5,884","0,2237","133,545881"
"150,943861","-172,84","5,898","2,087","0,5779","133,545881"
"140,381941","-25,78","5,895","3,773","0,5036","133,545881"
"133,666903","79,67","5,896","5,899","0,3864","133,545881"
"133,415442","71,4","5,865","5,899","0,3879","133,415442"
"133,494635","73,4","5,9","5,9","0,3917","133,415442"
"146,614344","178,79","5,875","2,534","0,5282","133,415442"
"140,170842","61,45","2,924","5,877","0,4826","133,415442"
"138,234551","97,58","4,584","4,296","0,586","133,415442"
"133,504821","74,67","5,721","5,899","0,381","133,415442"
"133,414589","71,56","5,844","5,878","0,3879","133,414589"
"133,445254","73,06","5,824","5,896","0,3862","133,414589"
"147,655756","-55,46","2,837","5,892","0,2005","133,414589"
"139,387734","-34,93","4,025","5,891","0,3825","133,414589"
"140,493307","177,02","4,105","5,873","0,5027","133,414589"
"133,418688","71,14","5,778","5,887","0,39","133,414589"
"133,378255","72,15","5,806","5,894","0,3888","133,378255"
