f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"133,255619","71,09","5,509","5,898","0,3772","133,241508"
"133,278366","71,67","5,506","5,877","0,3786","133,241508"
"133,232625","72,22","5,503","5,888","0,3782","133,232625"
"169,883241","-46,66","5,896","0,306","0,629","133,232625"
"144,016786","178,1","5,762","5,805","0,6251","133,232625"
"139,698035","-145,28","4,282","5,813","0,5777","133,232625"
"133,595727","83,54","5,335","5,876","0,3196","133,232625"
"134,119235","73,39","4,774","5,551","0,4124","133,232625"
"133,663625","85,38","5,71","5,9","0,3337","133,232625"
"151,01628","-90,17","1,769","5,072","0,5919","133,232625"
"137,987366","-69,7","5,898","4,735","0,7947","133,232625"
"134,241911","-77,29","5,229","5,856","0,4042","133,232625"
"133,462388","80,17","5,475","5,894","0,349","133,232625"
"134,391602",86,"5,188","5,366","0,303","133,232625"
"133,886097","77,32","5,413","5,424","0,3568","133,232625"
"146,483345","85,16","4,395","2,659","0,6438","133,232625"
"137,201787","66,8","5,61","4,495","0,6672","133,232625"
"136,360075","97,36","4,429","5,831","0,6601","133,232625"
"133,271728","71,83","5,487","5,895","0,3783","133,232625"
"134,158128","91,86","5,065","5,847","0,2888","133,232625"
"133,368347","59,19","5,9","5,9","0,3165","133,232625"
"133,291426","73,66","5,504","5,887","0,3782","133,232625"
"133,325896","72,94","5,504","5,887","0,3782","133,232625"
"133,239673","72,01","5,503","5,891","0,3779","133,232625"
"139,177569","-104,57","4,424","5,679","0,7989","133,232625"
"139,250998","66,55","4,543","3,567","0,4933","133,232625"
"138,421117","-53,26","5,821","3,968","0,5977","133,232625"
"132,978944","71,33","5,605","5,896","0,3077","132,978944"
"132,987074","71,59","5,611","5,88","0,3081","132,978944"
"132,971189","72,12","5,605","5,894","0,309","132,971189"
"152,907636","-15,66","2,521","3,418","0,7998","132,971189"
"141,472002","12,89","3,583","4,531","0,4073","132,971189"
"137,204552","131,62","5,886","4,581","0,221","132,971189"
"132,979912","71,25","5,626","5,893","0,3084","132,971189"
"132,993673","70,44","5,61","5,865","0,3086","132,971189"
"133,048328","72,17","5,635","5,868","0,3073","132,971189"
"143,549035","-164,59","5,036","3,388","0,6197","132,971189"
"134,686835","-65,31","5,7","4,388","0,348","132,971189"
"143,731244","-19,18","4,168","5,678","0,6185","132,971189"
"133,085407","72,57","5,627","5,897","0,31","132,971189"
"132,969775","70,96","5,616","5,898","0,3081","132,969775"
"133,185577","70,07","5,613","5,891","0,3113","132,969775"
"132,95047","70,57","5,612","5,9","0,309","132,95047"
"133,176051","70,28","5,609","5,9","0,3104","132,95047"
"133,186718","70,15","5,612","5,891","0,3087","132,95047"
"132,971092","70,45","5,611","5,9","0,3087","132,95047"
"145,170364","175,7","4,033","5,311","0,7901","132,95047"
"140,418581","166,34","4,465","5,89","0,5153","132,95047"
"134,470981",-104,"5,894","5,432","0,3137","132,95047"
