f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"144,172818","140,05","5,749","3,335","0,2001","144,172818"
"217,614987","-79,34","0,723","0,917","0,7088","144,172818"
"153,181082",0,3,3,"0,5","144,172818"
"169,746017","-178,47","0,107","5,886","0,2037","144,172818"
"147,920604","-178,36","5,867","5,87","0,7931","144,172818"
"167,486427","173,4","0,206","5,857","0,7991","144,172818"
"135,604164","81,06","5,89","4,29","0,2976","135,604164"
"137,418506","138,98","5,896","5,247","0,3912","135,604164"
"139,443063","-24,48","5,9","5,9","0,2","135,604164"
"170,447225","171,23","0,281","5,898","0,2042","135,604164"
"137,04481","90,98","5,85","5,888","0,7996","135,604164"
"140,032338","-41,98","5,894","5,823","0,5394","135,604164"
"133,968783","59,24","5,9","5,243","0,3803","133,968783"
"135,418144",47,"5,664","4,723","0,397","133,968783"
"133,440914","63,59","5,9","5,722","0,3353","133,440914"
"165,218754","-177,76","0,36","5,798","0,7995","133,440914"
"182,034689","-178,79","2,449","2,463","0,2017","133,440914"
"149,100095","-12,54","2,729","5,417","0,7992","133,440914"
"133,955339",75,"5,89","5,346","0,2368","133,440914"
"133,275251","66,36","5,898","5,802","0,3025","133,275251"
"133,031922","70,75","5,9","5,9","0,2568","133,031922"
"134,077658","52,89","5,9","5,9","0,251","133,031922"
"133,424296","87,76","5,9","5,9","0,2604","133,031922"
"133,035338","70,75","5,9","5,897","0,2568","133,031922"
"133,031922","70,75","5,9","5,9","0,2568","133,031922"
"133,041587","70,75","5,857","5,9","0,2568","133,031922"
"170,053378","166,74","5,89","0,146","0,7915","133,031922"
"138,049637","116,3","3,584","5,893","0,5863","133,031922"
"136,209307","105,72","5,828","5,868","0,5873","133,031922"
"133,223027","76,75","5,896","5,866","0,2824","133,031922"
"135,751512","104,43","4,953","4,952","0,3548","133,031922"
"136,737258",-180,"5,812","5,9","0,2","133,031922"
"142,63877","-175,47","2,887","5,84","0,4621","133,031922"
"149,644301","-12,34","2,418","5,872","0,2741","133,031922"
"146,137153","179,42","5,865","3,098","0,6824","133,031922"
"133,216949","70,31","5,871","5,896","0,2722","133,031922"
"133,147106",74,"5,895","5,848","0,2556","133,031922"
"133,08302","71,13","5,897","5,89","0,2558","133,031922"
"148,134616","-177,44","5,882","2,411","0,4565","133,031922"
"143,555638","-44,67","5,882","2,785","0,7879","133,031922"
"140,393692","32,7","4,863","3,966","0,6339","133,031922"
"133,772543","81,83","5,896","5,309","0,2973","133,031922"
"133,066992","74,11","5,893","5,895","0,269","133,031922"
"133,048622","71,18","5,897","5,898","0,2619","133,031922"
"133,291797","69,34","5,9","5,9","0,2564","133,031922"
"133,074579","71,02","5,9","5,9","0,2568","133,031922"
"133,050611","70,4","5,899","5,9","0,2567","133,031922"
"139,984972","-97,88","4,337","4,224","0,3281","133,031922"
"153,363487","19,21","5,899","1,505","0,4428","133,031922"
"139,213498","-171,44","5,706","5,304","0,4462","133,031922"
"133,290241","75,07","5,715","5,883","0,2669","133,031922"
"138,416632","12,67","5,887","4,956","0,3152","133,031922"
"231,086534",180,"0,1","0,695","0,272","133,031922"
"146,691039","-177,65","3,769","3,568","0,6871","133,031922"
"141,722292","-31,46","3,514","5,465","0,5064","133,031922"
"138,653126","-99,21","5,41","3,696","0,5873","133,031922"
"133,439963","80,13","5,898","5,867","0,3252","133,031922"
"133,124033","72,97","5,854","5,898","0,2603","133,031922"
"133,117476","73,12","5,895","5,882","0,2666","133,031922"
"153,292651","177,57","2,715","3,55","0,7997","133,031922"
"145,662716","173,41","4,086","5,88","0,79","133,031922"
"139,672617","179,96","4,198","5,876","0,2007","133,031922"
"133,07905","71,21","5,876","5,882","0,2593","133,031922"
"133,052481","71,39","5,896","5,897","0,2612","133,031922"
"133,05429","71,01","5,896","5,896","0,2598","133,031922"
"133,040739","70,57","5,9","5,9","0,2567","133,031922"
"133,034581","70,75","5,888","5,9","0,2568","133,031922"
"133,032839","70,75","5,894","5,9","0,2568","133,031922"
"167,171097","-21,39","0,235","5,814","0,5702","133,031922"
"140,816322","-55,29","5,116","5,037","0,7781","133,031922"
