f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"163,981199","178,1","5,287","1,345","0,2546","163,981199"
"165,996683","-12,4","0,575","5,799","0,6407","163,981199"
"153,181082",0,3,3,"0,5","153,181082"
"236,698007","-179,33","0,116","0,122","0,2043","153,181082"
"147,793515","-179,65","5,884","5,833","0,7988","147,793515"
"235,972931","178,97","0,149","0,105","0,7949","147,793515"
"138,521111","-120,81","5,88","5,894","0,7003","138,521111"
"137,370037","-61,52","5,889","5,898","0,6022","137,370037"
"137,784685",180,"5,9","5,9","0,2","137,370037"
"142,747464","-178,31","3,292","5,881","0,204","137,370037"
"137,868488","-38,7","5,861","5,881","0,2414","137,370037"
"142,225542","179,98","4,138","5,862","0,5986","137,370037"
"136,216813","-109,27","4,979","5,896","0,5034","136,216813"
"137,081764","-53,73","4,695","5,895","0,4046","136,216813"
"137,008852","-134,8","5,569","5,9","0,4757","136,216813"
"167,061823","167,44","0,765","5,83","0,2095","136,216813"
"142,542305","80,98","5,877","3,011","0,7993","136,216813"
"138,441891","59,54","4,981","5,758","0,7965","136,216813"
"136,54888","-72,17","4,758","5,578","0,6021","136,216813"
"136,426625","-100,87","4,855","5,898","0,5484","136,216813"
"136,208892","-114,28","4,757","5,516","0,4426","136,208892"
"137,133077","-132,39","4,381","5,9","0,4355","136,208892"
"136,551396","-108,58","4,687","5,087","0,4724","136,208892"
"136,028785","-99,09","4,799","5,563","0,4343","136,028785"
"135,847149","-98,83","4,924","5,555","0,4298","135,847149"
"135,460048","-97,27","5,037","5,575","0,4235","135,460048"
"137,428961",91,"5,884","3,796","0,4308","135,460048"
"156,724753","-101,59","5,89","1,872","0,229","135,460048"
"140,518954","128,56","5,886","4,566","0,6452","135,460048"
"137,93983","-40,07","5,886","4,676","0,4384","135,460048"
"135,254976","-98,54","5,355","5,748","0,3881","135,254976"
"135,201706","-95,62","5,266","5,642","0,4094","135,201706"
"156,740202","-167,44","5,742","1,591","0,7164","135,201706"
"144,005106","70,74","3,595","4,497","0,2143","135,201706"
"133,659352","76,15","5,042","5,837","0,3406","133,659352"
"134,179981","112,01","5,344","5,891","0,3369","133,659352"
"133,87576","83,64","5,064","5,89","0,3279","133,659352"
"133,905253","78,44","5,144","5,674","0,3642","133,659352"
"162,573067","30,19","5,882","0,143","0,5336","133,659352"
"138,277519","-66,26","5,863","3,525","0,7071","133,659352"
"137,108759","52,3","4,333","4,896","0,5539","133,659352"
"133,582614","73,12","4,906","5,899","0,3663","133,582614"
"133,585725","76,18","5,095","5,899","0,3625","133,582614"
"133,597059","74,46","5,001","5,9","0,3556","133,582614"
"133,577067","73,24","4,906","5,9","0,3663","133,577067"
"134,484132","98,11","4,801","5,9","0,3681","133,577067"
"134,20611","85,68","4,853","5,9","0,3672","133,577067"
"133,532096","71,3","4,914","5,9","0,3667","133,532096"
"133,72235","70,06","4,92","5,9","0,3672","133,532096"
"140,512755","30,86","5,85","3,83","0,2071","133,532096"
"142,30923","-40,22","3,617","5,872","0,2047","133,532096"
"136,096722","110,19","5,852","5,892","0,5267","133,532096"
"134,02191","90,29","5,869","5,3","0,3429","133,532096"
"133,472918","69,61","5,869","5,899","0,3698","133,472918"
"133,556973","78,8","5,9","5,9","0,3542","133,472918"
"147,333238","-42,43","2,92",4,"0,7944","133,472918"
"139,145844","-174,81","5,279","4,256","0,2252","133,472918"
"144,496532","-7,23","4,536","4,455","0,7231","133,472918"
"133,987675","93,91","5,541","5,891","0,3885","133,472918"
"135,875635","128,15","5,662","4,958","0,3293","133,472918"
"137,322348",-180,"5,9","5,07","0,2983","133,472918"
"148,063815","-177,87","2,139","5,83","0,6502","133,472918"
