f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"167,179862","116,33","5,807","0,559","0,2092","167,179862"
"166,570482","-38,07","0,722","4,41","0,7803","166,570482"
"153,181082",0,3,3,"0,5","153,181082"
"169,853232","-179,27","0,128","5,867","0,2002","153,181082"
"172,726266",-179,"5,772","0,105","0,7895","153,181082"
"148,273073","176,85","5,888","5,885","0,7985","148,273073"
"146,113262","179,89","5,893","5,895","0,6997","146,113262"
"143,968027","178,84","5,885","5,899","0,6018","143,968027"
"140,73955",180,"5,9","5,9","0,4508","140,73955"
"167,531572","178,31","0,696","5,897","0,2017","140,73955"
"138,515722","-49,58","5,826","5,893","0,5222","138,515722"
"134,740971","61,87","5,851","5,87","0,4735","134,740971"
"137,702388","39,56","5,898","5,898","0,4786","134,740971"
"134,308696","93,24","5,302","5,873","0,4442","134,308696"
"134,396039","91,07","5,848","5,74","0,4602","134,308696"
"137,165926","-175,03","5,882","5,831","0,2013","134,308696"
"138,987736","-1,05","5,869","5,878","0,2002","134,308696"
"138,918036","-168,96","5,868","5,892","0,4104","134,308696"
"133,919862","79,75","5,624","5,9","0,4371","133,919862"
"134,106855","81,47","5,633","5,898","0,4714","133,919862"
"133,987624","81,04","5,712","5,9","0,4451","133,919862"
"133,925429","79,66","5,624","5,9","0,437","133,919862"
"134,065691",78,"5,629","5,719","0,4368","133,919862"
"133,888431","80,58","5,621","5,9","0,4368","133,888431"
"133,870537","81,64","5,556","5,9","0,4432","133,870537"
"133,850544","81,59","5,618","5,858","0,4361","133,850544"
"145,504","-175,4","3,62","5,868","0,7866","133,850544"
"147,453843","-3,44","4,844","5,785","0,7978","133,850544"
"136,22015","139,61","5,884","5,784","0,2227","133,850544"
"134,107013","90,08","5,591","5,878","0,4372","133,850544"
"133,964536","80,34","5,608","5,842","0,4431","133,850544"
"133,753002","82,76","5,605","5,845","0,4296","133,753002"
"160,767394","-171,46","5,703","1,443","0,3154","133,753002"
"141,205035","-74,17","2,929","5,807","0,3297","133,753002"
"137,299337","50,12","3,909","5,72","0,2762","133,753002"
"133,817484","90,3","5,351","5,618","0,3407","133,753002"
"140,121465","23,72","4,657","5,868","0,528","133,753002"
"171,871715",180,"5,9","0,1","0,8","133,753002"
"144,301895","-154,52","5,858","3,446","0,701","133,753002"
"138,112053","-49,36","5,184","3,73","0,3444","133,753002"
"138,554502","62,03","5,866","3,812","0,2218","133,753002"
"134,026139","86,92","5,421","5,676","0,3887","133,753002"
"137,641904","23,55","5,809","4,893","0,3307","133,753002"
"236,566486",180,"0,1","0,1","0,8","133,753002"
"134,014042",85,"5,697","5,847","0,4275","133,753002"
"133,950724","83,94","5,558","5,845","0,429","133,753002"
"133,816969","81,4","5,606","5,836","0,4287","133,753002"
"133,773234","83,16","5,615","5,845","0,4293","133,753002"
"133,753193","82,66","5,605","5,851","0,4294","133,753002"
"141,417315","70,91","5,882","2,876","0,6645","133,753002"
"142,036882","-159,43","3,713","4,304","0,5234","133,753002"
"139,107027","118,44","5,899","3,605","0,4297","133,753002"
"134,297312","91,43","5,302","5,408","0,3688","133,753002"
"133,979403","94,88","5,23","5,876","0,3328","133,753002"
"133,849892","89,03","5,404","5,696","0,3531","133,753002"
"150,092498","175,98","1,872","5,883","0,5712","133,753002"
"139,385451","-41,58","5,859","3,689","0,5678","133,753002"
