f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"137,293276","-80,25","5,284","4,388","0,7396","137,293276"
"220,575064","126,92","0,639","1,252","0,2088","137,293276"
"153,181082",0,3,3,"0,5","137,293276"
"167,2008","-179,32","0,105","5,843","0,7866","137,293276"
"174,416672","-177,77","5,87","0,126","0,2004","137,293276"
"235,605607","-178,67","0,155","0,132","0,7906","137,293276"
"143,815104","-23,07","5,895","5,338","0,6408","137,293276"
"142,125838","-139,39","5,888","5,337","0,7798","137,293276"
"137,35622","-79,21","5,241","4,38","0,733","137,293276"
"165,694446","178,39","0,384","5,852","0,7988","137,293276"
"171,394584","176,69","5,782","0,16","0,7893","137,293276"
"168,538338","-176,41","0,303","5,879","0,2008","137,293276"
"145,663141","-21,3","4,504","5,092","0,7998","137,293276"
"139,246875","-103,22","5,898","3,445","0,6911","137,293276"
"137,5054","-89,49","5,483","4,247","0,7337","137,293276"
"137,607353","176,33","5,158","5,875","0,2025","137,293276"
"136,974606","-83,73","4,308","5,886","0,2268","136,974606"
"144,186125","32,18","5,886","2,954","0,2434","136,974606"
"139,572446","-24,58","5,256","5,896","0,2067","136,974606"
"134,884857","-90,13","5,238","5,892","0,3254","134,884857"
"134,612426","-93,48","5,389","5,9","0,3368","134,612426"
"134,246826","-86,78","5,236","5,9","0,3583","134,246826"
"135,303197","-105,04","5,171","5,27","0,399","134,246826"
"134,204308","-86,28","5,267","5,9","0,3816","134,204308"
"133,907367","-76,82","5,317","5,813","0,3566","133,907367"
"134,408543","-84,06","5,255","5,9","0,3579","133,907367"
"142,403442","177,65","3,745","5,895","0,5849","133,907367"
"134,466744","95,51","5,829","5,836","0,4416","133,907367"
"141,034252","15,24","3,701","5,784","0,5137","133,907367"
"140,214863","-22,43","5,899","5,898","0,3881","133,907367"
"134,175203","-82,05","5,317","5,791","0,3613","133,907367"
"134,07606","-77,69","5,294","5,815","0,3566","133,907367"
"145,262117","166,25","5,888","3,208","0,6334","133,907367"
"144,446336","-178,8","2,677","5,873","0,5676","133,907367"
"141,112197","-11,05","5,874","3,647","0,4663","133,907367"
"135,781557","-136,2","5,216","5,899","0,3768","133,907367"
"133,863145","-67,31","5,461","5,642","0,3497","133,863145"
"139,907801",180,"5,9","5,9","0,4085","133,863145"
"170,141373","111,95","0,623","5,828","0,2034","133,863145"
"143,655777","137,63","5,879","5,665","0,7401","133,863145"
"140,098088","-149,01","4,869","5,881","0,5958","133,863145"
"133,650407","-73,46","5,4","5,693","0,3516","133,650407"
"134,074132","-70,82","5,403","5,779","0,3567","133,650407"
"133,685419","-73,91","5,42","5,511","0,3382","133,650407"
"133,736132","-75,5","5,455","5,753","0,3396","133,650407"
"133,826484","-76,86","5,426","5,656","0,3533","133,650407"
"133,699525","-73,39","5,37","5,683","0,3498","133,650407"
"133,633438","-73,73","5,407","5,7","0,3501","133,633438"
"133,671069","-73,09","5,404","5,689","0,3513","133,633438"
"142,444295","147,96","4,206","3,658","0,3806","133,633438"
"136,420086","113,96","5,794","4,479","0,2898","133,633438"
"135,998767","77,69","4,055","5,85","0,3124","133,633438"
"133,748498","-74,89","5,422","5,613","0,343","133,633438"
"137,723974","-132,93","4,877","4,748","0,2517","133,633438"
"213,659546","102,78","0,1","2,351","0,7091","133,633438"
"149,090451","-178,92","4,654","2,572","0,4525","133,633438"
"141,696282","-34,82","4,034","3,958","0,3439","133,633438"
"135,576228","58,38","4,839","4,507","0,4297","133,633438"
"133,79927","-75,47","5,405","5,727","0,347","133,633438"
"133,612367","-67,06","5,622","5,496","0,3157","133,612367"
"134,629885","101,5","5,202","5,384","0,4018","133,612367"
"168,021515","168,57","5,873","0,183","0,3848","133,612367"
"140,960503","-168,62","5,856","4,315","0,531","133,612367"
"138,108349","-75,48","4,302","4,129","0,5432","133,612367"
"133,691786","-74,62","5,546","5,515","0,3261","133,612367"
"133,757122","-66,24","5,491","5,566","0,3276","133,612367"
"133,628857","-68,58","5,664","5,436","0,3162","133,612367"
"133,706348","-68,38","5,508","5,425","0,3031","133,612367"
"133,615625","-68,4","5,676","5,554","0,3116","133,612367"
"133,826962","-64,61","5,636","5,505","0,3173","133,612367"
"133,614054","-67,49","5,611","5,491","0,3138","133,612367"
"133,635051","-67,65","5,619","5,499","0,3162","133,612367"
"149,812607","-71,95","1,85","5,809","0,3613","133,612367"
"138,433962","-92,68","3,651","5,622","0,4732","133,612367"
"138,538266","11,36","5,889","4,448","0,3048","133,612367"
"133,742407","-74,71","5,542","5,485","0,3124","133,612367"
"133,474309","-73,21","5,732","5,444","0,2962","133,474309"
"133,804792","-70,55","5,694","5,485","0,3041","133,474309"
"170,438925","-34,06","5,878","0,154","0,5787","133,474309"
"138,15088","73,35","4,476","4,227","0,65","133,474309"
"139,897515","133,38","5,771","4,813","0,5776","133,474309"
"133,766733","-76,58","5,648","5,426","0,3031","133,474309"
"133,696719","-76,28","5,804","5,413","0,2903","133,474309"
"133,587147","-68,55","5,612","5,45","0,3157","133,474309"
"151,722106","-38,72","1,889","5,877","0,7271","133,474309"
"139,348873","-179,97","3,359","5,865","0,337","133,474309"
"139,705556","-16,43","4,294","5,378","0,3858","133,474309"
"133,699783","-76,09","5,659","5,529","0,3169","133,474309"
"133,512768","-73,32","5,705","5,432","0,2943","133,474309"
"133,472676","-73,18","5,74","5,437","0,2958","133,472676"
"133,802707","-70,59","5,75","5,473","0,2916","133,472676"
"133,485094","-73,14","5,737","5,417","0,2987","133,472676"
"133,532447","-74,23","5,743","5,438","0,2959","133,472676"
"133,483547","-72,67","5,742","5,439","0,2958","133,472676"
"145,183895","37,75","5,886","2,611","0,7999","133,472676"
"145,203027","-151,87","3,466","5,855","0,7991","133,472676"
"137,377491","-177,65","5,883","5,891","0,2033","133,472676"
"133,814717","-74,51","5,713","5,351","0,2949","133,472676"
"133,626219","-69,2","5,611","5,419","0,3141","133,472676"
"133,491856","-72,97","5,731","5,432","0,2965","133,472676"
"139,040777","103,06","3,552","5,881","0,7945","133,472676"
"135,591432","78,6","4,712","5,889","0,6102","133,472676"
"133,757504","56,39","5,753","5,895","0,2885","133,472676"
"133,817476","-71,07","5,645","5,486","0,3142","133,472676"
"133,759767","-72,45","5,485","5,603","0,3332","133,472676"
"133,661873","-75,34","5,742","5,437","0,2994","133,472676"
"149,861521","-134,66","5,895","2,565","0,2386","133,472676"
"139,978788","124,57","5,886","3,528","0,4478","133,472676"
"141,620989","-3,98","4,852","4,915","0,5487","133,472676"
"133,446325","-73,62","5,724","5,441","0,2941","133,446325"
"133,941634","-70,97","5,478","5,421","0,3219","133,446325"
"133,53718","85,59","5,622","5,9","0,2999","133,446325"
"133,495432","-72,87","5,73","5,455","0,2928","133,446325"
