f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"196,075944","-153,36","0,2058","2,91","0,2058","196,075944"
"141,019394","176,16","0,5182","5,502","0,5182","141,019394"
"153,181082",0,"0,5",3,"0,5","141,019394"
"170,676485","172,99","0,7995","0,169","0,7995","141,019394"
"166,490618","-173,97","0,7989","5,889","0,7989","141,019394"
"136,821597","-179,44","0,2086","5,885","0,2086","136,821597"
"134,473223","-120,26","0,3075","5,899","0,3075","134,473223"
"139,339961","-175,3","0,4057","5,899","0,4057","134,473223"
"139,123967","-25,1","0,2776","5,9","0,2776","134,473223"
"146,003288","-37,85","0,7995","5,842","0,7995","134,473223"
"142,549065","9,51","0,5325","5,897","0,5325","134,473223"
"136,305376","152,84","0,2211","5,875","0,2211","134,473223"
"134,525177","-120,84","0,3003","5,894","0,3003","134,473223"
"134,603651","-118,69","0,3155","5,9","0,3155","134,473223"
"134,686086","-128,23","0,3046","5,9","0,3046","134,473223"
"160,287706","177,19","0,7998","5,898","0,7998","134,473223"
"160,819379","179,79","0,3045","1,275","0,3045","134,473223"
"140,689967","77,24","0,3638","5,894","0,3638","134,473223"
"134,903067","-128,26","0,2315","5,894","0,2315","134,473223"
"134,79704","-112,94","0,2974","5,9","0,2974","134,473223"
"134,553813","-121,01","0,3077","5,897","0,3077","134,473223"
"134,473635","-120,26","0,3075","5,9","0,3075","134,473223"
"134,495187","-120,29","0,3076","5,9","0,3076","134,473223"
"134,645083","-119,35","0,3075","5,895","0,3075","134,473223"
"134,492876","-120,31","0,3066","5,899","0,3066","134,473223"
"163,354024","-179,89","0,7846","1,059","0,7846","134,473223"
"133,617589","82,06","0,3788","5,852","0,3788","133,617589"
"133,548856","64,06","0,2342","5,881","0,2342","133,548856"
"133,569949","90,78","0,3065","5,898","0,3065","133,548856"
"134,623916","104,8","0,297","5,9","0,297","133,548856"
"133,589002","80,47","0,2364","5,9","0,2364","133,548856"
"173,016592",-145,"0,2132","0,426","0,2132","133,548856"
"138,789308","69,34","0,7078","5,821","0,7078","133,548856"
"135,568981","93,85","0,5456","5,872","0,5456","133,548856"
"133,235812","74,99","0,2764","5,9","0,2764","133,235812"
"136,468524","133,68","0,3753","5,89","0,3753","133,235812"
"139,212247","4,52","0,2444","5,9","0,2444","133,235812"
"142,698574","-136,54","0,6076","5,843","0,6076","133,235812"
"138,21901","-55,26","0,4271","5,873","0,4271","133,235812"
"137,542071","34,26","0,4356","5,899","0,4356","133,235812"
"133,569596","79,76","0,3267","5,898","0,3267","133,235812"
"133,22107","74,75","0,2697","5,887","0,2697","133,22107"
"133,104064","73,9","0,2727","5,9","0,2727","133,104064"
"133,177854","72,66","0,2738","5,9","0,2738","133,104064"
"133,226305","75,88","0,2737","5,9","0,2737","133,104064"
"133,11946","73,59","0,2701","5,9","0,2701","133,104064"
"133,138829","73,79","0,2729","5,87","0,2729","133,104064"
"133,117339","73,64","0,2732","5,9","0,2732","133,104064"
"141,750415","89,77","0,7379","3,219","0,7379","133,104064"
"143,176168","130,2","0,7915","5,853","0,7915","133,104064"
"143,898158","-13,8","0,6101","5,891","0,6101","133,104064"
"133,326808","76,36","0,2542","5,899","0,2542","133,104064"
"133,148742","73,24","0,2746","5,898","0,2746","133,104064"
"133,10582","74,04","0,2707","5,893","0,2707","133,104064"
"139,121888","-112,16","0,5955","3,453","0,5955","133,104064"
"138,888875","36,63","0,4411","3,338","0,4411","133,104064"
"137,0118","-44,5","0,4128","4,602","0,4128","133,104064"
"133,514864","77,98","0,2655","5,898","0,2655","133,104064"
"134,243407","103,73","0,353","5,869","0,353","133,104064"
"136,441155","-164,99","0,2896","5,825","0,2896","133,104064"
"144,116769","-65,25","0,7982","3,566","0,7982","133,104064"
"142,573008","-1,18","0,6347","3,86","0,6347","133,104064"
"135,464647","43,2","0,3502","4,579","0,3502","133,104064"
"133,200347","68,04","0,2583","5,866","0,2583","133,104064"
"133,191896","72,46","0,2713","5,899","0,2713","133,104064"
"133,133946","73,37","0,2725","5,892","0,2725","133,104064"
"133,252008","75,26","0,2727","5,9","0,2727","133,104064"
"133,110915","73,83","0,2727","5,9","0,2727","133,104064"
"133,112676","73,89","0,2726","5,894","0,2726","133,104064"
"145,032058","-178,98","0,773","4,869","0,773","133,104064"
"142,321917","135,66","0,5158","3,616","0,5158","133,104064"
"135,863715","85,45","0,4921","4,617","0,4921","133,104064"
"133,132373","73,57","0,3043","5,747","0,3043","133,104064"
"133,469516","77,49","0,2938","5,899","0,2938","133,104064"
"133,663046","82,03","0,3268","5,447","0,3268","133,104064"
"145,59572","-11,78","0,213","4,382","0,213","133,104064"
"138,884093","176,12","0,3094","3,679","0,3094","133,104064"
"138,489923","97,59","0,205","4,253","0,205","133,104064"
"133,208851","74,19","0,2862","5,677","0,2862","133,104064"
"135,930403","35,08","0,252","5,563","0,252","133,104064"
"135,317135","104,74","0,2082","5,9","0,2082","133,104064"
"147,205103","-176,3","0,366","3,31","0,366","133,104064"
"138,690152","-149,85","0,5024","4,789","0,5024","133,104064"
"137,378261","-138,26","0,34","4,052","0,34","133,104064"
"133,117056","72,06","0,2845","5,794","0,2845","133,104064"
"133,355454","74,9","0,3056","5,706","0,3056","133,104064"
"133,267642","73,82","0,3024","5,596","0,3024","133,104064"
"133,249192","75,28","0,2732","5,9","0,2732","133,104064"
"133,276904","74,59","0,2729","5,9","0,2729","133,104064"
"133,113481","73,83","0,2721","5,9","0,2721","133,104064"
"136,419173","-107,34","0,6241","5,507","0,6241","133,104064"
"137,872075","141,95","0,3941","4,71","0,3941","133,104064"
"135,401152","-94,73","0,4682","5,704","0,4682","133,104064"
"133,371631","75,24","0,2897","5,668","0,2897","133,104064"
"133,32609","67,82","0,3273","5,649","0,3273","133,104064"
"133,45679","79,07","0,2783","5,874","0,2783","133,104064"
"143,44153","175,79","0,6976","4,769","0,6976","133,104064"
"138,925204","87,35","0,3513","4,416","0,3513","133,104064"
"136,222023","-120,08","0,4761","4,406","0,4761","133,104064"
"133,400224","74,71","0,3175","5,677","0,3175","133,104064"
"133,316691","65,01","0,2977","5,705","0,2977","133,104064"
"133,047025","72,16","0,2541","5,9","0,2541","133,047025"
"138,141193","-49,39","0,2131","4,098","0,2131","133,047025"
"135,669939","-79,09","0,3385","4,981","0,3385","133,047025"
"139,400254","-2,58","0,3814","5,046","0,3814","133,047025"
"133,196551","72,74","0,2664","5,822","0,2664","133,047025"
"133,067605","71,07","0,2772","5,824","0,2772","133,047025"
"133,051386","71,16","0,2761","5,83","0,2761","133,047025"
"133,266193","69,42","0,2595","5,9","0,2595","133,047025"
"133,117142","71,66","0,2497","5,845","0,2497","133,047025"
"133,092762","71,24","0,2517","5,9","0,2517","133,047025"
"133,169025","72,78","0,2538","5,9","0,2538","133,047025"
"133,043402","72,11","0,254","5,9","0,254","133,043402"
"136,640715","77,37","0,663","4,918","0,663","133,043402"
"140,859972","-31,6","0,5752","4,523","0,5752","133,043402"
"135,023308","-94,8","0,3384","4,872","0,3384","133,043402"
"133,345049","70,31","0,2761","5,762","0,2761","133,043402"
"133,13322","70,7","0,2496","5,814","0,2496","133,043402"
"133,065575","70,82","0,2548","5,877","0,2548","133,043402"
"146,74643","174,23","0,5382","5,864","0,5382","133,043402"
"136,03601","-135,71","0,3861","5,275","0,3861","133,043402"
"135,736579","104,21","0,3797","5,021","0,3797","133,043402"
"133,075841","71,8","0,293","5,741","0,293","133,043402"
"133,260195","71,08","0,2451","5,63","0,2451","133,043402"
"133,076043","71,1","0,2546","5,9","0,2546","133,043402"
"144,083005","19,01","0,7944","4,865","0,7944","133,043402"
"136,277935","131,74","0,2797","4,865","0,2797","133,043402"
"134,714202","91,54","0,4388","5,257","0,4388","133,043402"
"133,258781","73,9","0,2569","5,711","0,2569","133,043402"
"133,08667","71,73","0,258","5,884","0,258","133,043402"
"133,067361","71,74","0,254","5,895","0,254","133,043402"
"133,05803","72,11","0,254","5,883","0,254","133,043402"
"133,066304","71,74","0,2543","5,9","0,2543","133,043402"
"133,04445","72,11","0,254","5,896","0,254","133,043402"
"137,747496","79,01","0,6388","4,632","0,6388","133,043402"
"138,907652","-96,39","0,6688","4,689","0,6688","133,043402"
"134,135108","61,69","0,3904","5,136","0,3904","133,043402"
"133,106912","71,82","0,2571","5,819","0,2571","133,043402"
"133,019816","70,59","0,2766","5,841","0,2766","133,019816"
"133,316953","70,28","0,2538","5,847","0,2538","133,019816"
"157,401323","-1,38","0,5524","5,873","0,5524","133,019816"
"143,466272","-176,6","0,2275","5,9","0,2275","133,019816"
"137,739891","-124,2","0,2355","5,852","0,2355","133,019816"
"133,301601","69,82","0,2814","5,805","0,2814","133,019816"
"133,135081","71,97","0,2914","5,766","0,2914","133,019816"
"133,042111","71,31","0,2769","5,852","0,2769","133,019816"
"148,049202","-38,59","0,7532","1,958","0,7532","133,019816"
"142,092409","140,63","0,577","3,652","0,577","133,019816"
"137,266649","118,53","0,4437","5,377","0,4437","133,019816"
"133,616419","75,99","0,3657","5,451","0,3657","133,019816"
"133,017849","70,85","0,2738","5,849","0,2738","133,017849"
"133,02512","70,84","0,277","5,843","0,277","133,017849"
"133,290501","68,95","0,2734","5,86","0,2734","133,017849"
"133,072133","71,41","0,2736","5,835","0,2736","133,017849"
"133,048465","70,99","0,2741","5,852","0,2741","133,017849"
"142,340219","-176,8","0,6287","5,898","0,6287","133,017849"
"138,619643","-36,28","0,237","5,885","0,237","133,017849"
"136,045428","-109,11","0,261","5,208","0,261","133,017849"
"133,084164","72,07","0,2549","5,83","0,2549","133,017849"
"133,093608","71,73","0,2554","5,855","0,2554","133,017849"
"133,052143","71,32","0,2756","5,848","0,2756","133,017849"
"142,833448","178,61","0,2248","5,401","0,2248","133,017849"
"134,575343","86,55","0,4817","5,784","0,4817","133,017849"
"134,681049","83,8","0,4215","5,72","0,4215","133,017849"
"133,018712","71,86","0,278","5,828","0,278","133,017849"
"133,056823","72,05","0,2929","5,744","0,2929","133,017849"
"133,056327","71,43","0,2761","5,837","0,2761","133,017849"
"140,371782","-42,03","0,4546","3,495","0,4546","133,017849"
"136,102431","47,85","0,3084","5,482","0,3084","133,017849"
"134,114982","67,72","0,2798","4,867","0,2798","133,017849"
"133,021799","71,57","0,2799","5,848","0,2799","133,017849"
"133,801656","74,05","0,2064","5,699","0,2064","133,017849"
"133,341188","73,54","0,2379","5,777","0,2379","133,017849"
"133,064886","71,21","0,274","5,861","0,274","133,017849"
"133,259413","70,19","0,2741","5,846","0,2741","133,017849"
"133,054096","71,09","0,2738","5,852","0,2738","133,017849"
"138,150202","-55,67","0,5249","4,821","0,5249","133,017849"
"137,813733","49,09","0,504","4,676","0,504","133,017849"
"135,004548","66,92","0,3096","4,8","0,3096","133,017849"
"133,085312","73,28","0,2796","5,85","0,2796","133,017849"
"133,041686","71,85","0,2747","5,843","0,2747","133,017849"
"133,058092","72,04","0,2935","5,741","0,2935","133,017849"
"138,325019","-67,8","0,7669","3,878","0,7669","133,017849"
"137,640055","120,93","0,5884","5,155","0,5884","133,017849"
"134,149167","-86,36","0,374","5,782","0,374","133,017849"
"133,112253","73,08","0,2759","5,87","0,2759","133,017849"
"133,05616","71,13","0,2785","5,837","0,2785","133,017849"
"133,046788","71,7","0,2758","5,855","0,2758","133,017849"
"141,996346","-171,1","0,591","4,611","0,591","133,017849"
"135,880862","-90,76","0,432","4,791","0,432","133,017849"
"135,379229","105,78","0,2681","5,201","0,2681","133,017849"
"133,05768","71,55","0,276","5,841","0,276","133,017849"
"133,041643","71,62","0,2755","5,83","0,2755","133,017849"
"133,18144","72,64","0,2959","5,752","0,2959","133,017849"
"133,014496","70,67","0,2716","5,853","0,2716","133,014496"
