f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"213,568166","-131,94","1,136","1,013","0,7398","213,568166"
"136,038242","146,32","5,131","5,42","0,2798","136,038242"
"153,181082",0,3,3,"0,5","136,038242"
"236,737741","177,73","0,112","0,123","0,2063","136,038242"
"173,979673","-178,51","5,899","0,142","0,2025","136,038242"
"169,7785","-179,64","0,1","5,862","0,2015","136,038242"
"133,663654","87,33","5,898","5,899","0,3783","133,663654"
"136,771065","28,25","5,892","5,9","0,2812","133,663654"
"142,171604","128,23","5,9","5,9","0,7409","133,663654"
"166,640968",179,"0,23","5,888","0,734","133,663654"
"150,768283","175,78","5,899","2,038","0,5563","133,663654"
"142,665605","-169,8","5,213","5,883","0,6334","133,663654"
"135,917544","48,73","4,942","5,884","0,4773","133,663654"
"137,75647","145,83","5,898","5,896","0,3914","133,663654"
"133,996338",66,"5,9","5,127","0,3896","133,663654"
"137,933186","-178,19","4,166","5,691","0,2201","133,663654"
"135,067065","-114,53","5,876","5,768","0,3961","133,663654"
"140,476279","-40,05","5,879","3,558","0,6156","133,663654"
"138,48814","29,32","5,886","5,895","0,4323","133,663654"
"133,907726","86,64","5,775","5,531","0,3573","133,663654"
"136,944865",-180,"5,9","5,9","0,2","133,663654"
"133,66291","87,32","5,9","5,899","0,3782","133,66291"
"133,832627","87,24","5,898","5,9","0,3783","133,66291"
"133,657441","87,65","5,9","5,897","0,3786","133,657441"
"133,653531","87,38","5,898","5,9","0,3782","133,653531"
"133,82629","87,27","5,883","5,852","0,3756","133,653531"
"149,843274","7,14","2,504","5,882","0,2359","133,653531"
"144,576112","-59,28","5,835","2,79","0,2581","133,653531"
"146,350902","-21,27","5,885","5,883","0,7097","133,653531"
"133,712034","87,7","5,897","5,68","0,3657","133,653531"
"133,907602","99,25","5,892","5,805","0,3653","133,653531"
"133,918904","91,39","5,9","5,871","0,3748","133,653531"
"157,163332","-121,55","0,618","5,882","0,7925","133,653531"
"144,25228","-106,29","2,502","5,885","0,5013","133,653531"
"138,213109","-44,07","4,181","5,883","0,3401","133,653531"
"133,731653","90,29","5,892","5,79","0,3631","133,653531"
"133,784573","88,77","5,891","5,706","0,3627","133,653531"
"133,653306","87,47","5,899","5,899","0,3783","133,653306"
