f(x),orientation,winE,winW,transmitance,Cálculo Gráfico
"234,273407","132,28","0,184","0,299","0,2515","234,273407"
"139,565868","-143,7","4,795","5,531","0,6106","139,565868"
"153,181082",0,3,3,"0,5","139,565868"
"171,563368","178,56","5,86","0,137","0,7986","139,565868"
"168,160791","169,91","0,19","5,792","0,7944","139,565868"
"235,715937","-179,22","0,144","0,131","0,7987","139,565868"
"135,076546","-84,41","5,752","5,896","0,5139","135,076546"
"144,072201","-25,58","5,889","5,897","0,6117","135,076546"
"136,944865",-180,"5,9","5,9","0,2","135,076546"
"137,575069","162,45","4,842","5,753","0,2036","135,076546"
"143,034191","-29,04","3,281","5,823","0,2716","135,076546"
"140,19873","11,86","5,899","3,523","0,2959","135,076546"
"136,469531","-142,21","5,812","5,892","0,4153","135,076546"
"135,604278","-58,13","5,896","5,897","0,4153","135,076546"
"135,799735","122,16","5,9","5,9","0,2","135,076546"
"142,552385","178,77","3,733","5,865","0,5947","135,076546"
"142,65016","113,15","5,879","3,096","0,6198","135,076546"
"140,228215","175,94","5,853","5,685","0,4489","135,076546"
"135,134453","-104,48","5,881","5,893","0,4608","135,076546"
"135,099937","-87,86","5,292","5,858","0,4765","135,076546"
"135,23791","-92,38","5,682","5,791","0,4921","135,076546"
"135,079141","-84,48","5,751","5,9","0,514","135,076546"
"134,916395","-83,09","5,758","5,9","0,5128","134,916395"
"135,562977","-64,52","5,9","5,9","0,4886","134,916395"
"135,061888","-74,82","5,488","5,882","0,515","134,916395"
"134,82037","-76,53","5,813","5,9","0,504","134,82037"
"165,819458","-167,84","0,125","5,883","0,7971","134,82037"
"149,152462","-7,12","2,376","5,895","0,6569","134,82037"
"135,94893","61,44","4,239","4,951","0,4489","134,82037"
"140,409073","-19,38","4,895","5,877","0,4107","134,82037"
"134,808524","-80,51","5,619","5,899","0,4846","134,808524"
"135,120003","-78,55","5,709","5,9","0,5046","134,808524"
"168,918538","177,64","0,258","5,849","0,2821","134,808524"
"141,061823","178,21","5,865","3,219","0,3282","134,808524"
"140,547478","178,46","4,4","3,978","0,4797","134,808524"
"134,196936","-86,85","5,894","5,89","0,4232","134,196936"
"134,688327","-91,07","5,89","5,897","0,4071","134,196936"
"134,463756","-84,69","5,9","5,9","0,4365","134,196936"
"162,07853","-179,94","5,892","1,081","0,5274","134,196936"
"149,281594","-177,21","1,946","5,81","0,4584","134,196936"
"139,61387","-45,55","5,898","3,348","0,5491","134,196936"
"134,065703","-83,84","5,893","5,614","0,4262","134,065703"
"134,367652","-84,52","5,893","5,658","0,4293","134,065703"
"134,101977","-83,91","5,882","5,597","0,4299","134,065703"
"133,977934","-77,14","5,77","5,627","0,4226","133,977934"
"134,029991","-87,64","5,844","5,599","0,4235","133,977934"
"134,058273","-83,28","5,899","5,58","0,4239","133,977934"
"134,07565","-83,03","5,878","5,617","0,4259","133,977934"
"134,275259","-84,34","5,887","5,613","0,4259","133,977934"
"150,538993","-175,69","3,957","3,103","0,3015","133,977934"
"147,440178","177,87","5,871","5,325","0,7974","133,977934"
"136,791782","-142,14","5,867","4,209","0,3024","133,977934"
"134,489917","-84,66","5,897","4,958","0,4162","133,977934"
"133,965705","-77,25","5,883","5,54","0,4291","133,965705"
"134,36748","-88,04","5,764","5,522","0,4188","133,965705"
"145,640652","0,89","4,077","3,639","0,7994","133,965705"
"137,162861","-42,76","5,835","5,393","0,203","133,965705"
"135,856243","120,24","5,307","4,725","0,3367","133,965705"
"133,926551","-77,27","5,899","5,615","0,4238","133,926551"
"134,219654","-80,45","5,896","5,588","0,4278","133,926551"
"133,79254","-74,28","5,9","5,549","0,4192","133,79254"
"148,552866","-177,68","5,862","3,157","0,7899","133,79254"
"141,195707","-99,9","3,794","4,25","0,4659","133,79254"
"136,735034",52,"5,898","4,086","0,4684","133,79254"
"133,841501","-72,75","5,888","5,415","0,4225","133,79254"
"133,976252","-75,15","5,897","5,522","0,4201","133,79254"
"134,078541","-72,43","5,896","5,444","0,4227","133,79254"
"133,860478","-72,76","5,804","5,566","0,4184","133,79254"
"134,133766","-71,59","5,9","5,561","0,421","133,79254"
"133,936901","-74,66","5,9","5,557","0,4168","133,79254"
"133,792594","-74,31","5,9","5,549","0,4193","133,79254"
"133,954843","-74,4","5,895","5,552","0,4194","133,79254"
"136,740088","76,3","4,745","4,93","0,6756","133,79254"
"137,995139","-164,73","3,85","5,853","0,2955","133,79254"
"134,783291","73,07","5,648","5,682","0,5376","133,79254"
"133,984564","-75,77","5,818","5,56","0,4183","133,79254"
"133,890669","-73,89","5,881","5,399","0,4195","133,79254"
"133,834087","-74,2","5,888","5,406","0,4226","133,79254"
"142,206745","-179,84","5,892","3,599","0,5187","133,79254"
"138,18957","-65,85","5,883","4,489","0,7775","133,79254"
"134,635105","46,83","5,854","5,759","0,3295","133,79254"
"133,984903","-74,87","5,884","5,412","0,4244","133,79254"
"133,818601","-73,28","5,795","5,562","0,4205","133,79254"
"133,889907","-73,96","5,884","5,408","0,4215","133,79254"
"171,618205","-67,7","5,873","0,411","0,2352","133,79254"
"146,202259","-30,79","4,184","5,846","0,7933","133,79254"
"141,514302","-18,75","4,7","4,622","0,5631","133,79254"
"133,793802","-73,27","5,884","5,405","0,4227","133,79254"
