fx,orientation,trans,win_e,win_w
135.08284584727858,-103.59,0.4449,5.518,5.5710000000000015
167.76205966316311,-90.69,0.3296,0.888,4.356
153.75559141103062,100.16,0.7829999999999999,5.809,1.157
153.18108166841571,0.0,0.5,3.0,3.0
172.86806607398978,177.35,0.2027,5.797999999999999,0.122
167.52488969401196,178.6,0.7925,0.145,5.896
137.08226948103064,-179.28,0.2032,5.875,5.87
137.6223342707882,-179.25,0.3021,5.89,5.891
136.7263504967519,-179.56,0.2026,5.895,5.898
147.99930661955773,-180.0,0.8,5.9,5.9
157.5989354155719,-176.24,0.6797,5.856,1.49
137.982432698065,42.16,0.52,5.863,5.899
137.6643261640675,-35.34,0.3022,5.848,5.899
134.61205578636458,-120.42,0.2521,5.899,5.893
135.54246926807343,-105.92,0.2029,5.9,5.897
134.63763553399872,-117.47,0.2656,5.9,5.9
136.19823335838691,-111.63,0.5341,5.876,5.869
134.9884593244727,-106.62,0.3984,5.894,5.88
139.94284684592336,-38.7,0.4698,5.818,5.851
134.70556105457462,-113.74,0.3325,5.897,5.9
134.74574275104223,-125.06,0.2572,5.899,5.898
134.70192998273936,-114.85,0.2499,5.9,5.9
134.6420658352955,-120.39,0.2521,5.8260000000000005,5.9
134.623676577889,-120.28,0.2523,5.894,5.836
134.6617211895983,-120.93,0.2499,5.9,5.893
134.8904555497323,-119.97,0.2525,5.9,5.894
134.63633302490805,-120.83,0.2524,5.899,5.893
137.762779202807,179.23,0.2117,5.865,5.885
133.77941174905547,84.83,0.3338,5.874,5.898
136.46258882352265,38.93,0.2005,5.894,5.851
133.69429521069287,86.6,0.3314,5.899,5.9
138.26516280668065,145.71,0.4276,5.782,5.896
236.74562769698352,-32.95,0.2,0.1,0.1
145.1928490622695,179.91,0.7975,4.086,4.717
148.68331983661145,-43.79,0.7879999999999999,2.448,5.856
145.9592709508047,-6.11,0.7956,5.86,4.136
133.65483993630426,85.2,0.3317,5.893,5.89
135.06261403885978,100.52,0.315,5.897,4.94
133.89237388825364,-86.56,0.2529,5.73,5.737
156.21359156403798,152.07,0.3162,1.6769999999999998,5.865
140.6727998389522,81.41,0.5443,5.851,3.0010000000000003
143.68078651421303,149.52,0.6795,5.773,5.9
133.7558960554787,84.87,0.326,5.897,5.8870000000000005
133.75057165797716,79.51,0.3643,5.896,5.4910000000000005
134.50729906487507,-120.47,0.2909,5.7970000000000015,5.815
133.55970346637432,84.98,0.3319,5.9,5.893
133.3355518750233,83.15,0.3341,5.9,5.888999999999999
133.4648326121363,81.28,0.3415,5.9,5.84
133.4471965065271,82.22,0.3378,5.9,5.865
133.42052299177232,81.62,0.3331,5.9,5.9
164.6396424674685,-143.48,0.2122,5.849,1.3
141.39747768872454,20.46,0.4419,3.155,5.7970000000000015
144.39448748725238,-26.77,0.6708,4.455,5.899
133.60867336018129,79.27,0.3394,5.898,5.585
134.76424178063968,58.45,0.2352,5.675,4.942
175.15723200706378,23.21,0.5191,0.1,5.278
138.85163560636974,-58.35,0.37799999999999995,5.7570000000000014,3.2119999999999997
141.31130468296826,-176.86,0.4519,3.143,5.893
139.4062512963502,8.41,0.4118,4.694,4.5169999999999995
133.67788282835872,63.56,0.2862,5.899,5.29
133.3486929396144,82.4,0.3345,5.898,5.856
133.31976460826417,76.82,0.3306,5.898,5.783
143.34157996244957,-161.11,0.6329,4.202,3.824
140.10625095078225,-39.3,0.5885,5.657,3.704
140.43519467610062,-176.87,0.4582,5.685,4.08
133.20038114899285,68.24,0.3076,5.894,5.564
133.31048418989465,67.34,0.3161,5.9,5.59
133.1791653554862,68.76,0.3065,5.9,5.561
133.38300084370334,63.12,0.2961,5.9,5.705
133.19421399006382,74.23,0.3052,5.836,5.58
133.3909731919453,69.53,0.3042,5.9,5.513999999999999
133.17160586779664,68.56,0.3051,5.9,5.584
133.341198586828,69.38,0.3067,5.891,5.563
141.35738513146498,154.57,0.5261,3.703,4.499
137.60642245373634,-104.41,0.474,4.279,4.815
136.00373011060645,56.62,0.4557,5.897,4.234
133.1875778634212,73.38,0.313,5.888,5.731
133.2594725560495,72.63,0.3077,5.894,5.652
133.17653743603836,73.19,0.3129,5.899,5.72
144.2674796662376,-98.43,0.2205,3.178,5.885
137.05318423944732,71.99,0.6547,4.796,4.5169999999999995
135.49097358984963,-78.16,0.3533,4.479,5.898
133.1815199132234,67.91,0.3066,5.898,5.662000000000001
133.12305626043502,71.45,0.3129,5.8870000000000005,5.704
133.1285150425513,71.33,0.3131,5.894,5.7
