f(x),orientation,winE,winW,transmitance
133.362149,69.86,5.716,5.739,0.3259
133.156317,71.32,5.718,5.739,0.3252
143.505943,80.96,3.895,3.767,0.3423
138.304502,142.29,4.829,4.786,0.2419
137.315522,109.84,5.861,4.821,0.2098
133.395759,69.73,5.67,5.71,0.3269
133.356522,70.29,5.735,5.688,0.3214
133.245937,71.73,5.659,5.654,0.3289
144.628555,128.99,5.698,2.765,0.3973
135.900435,76.61,4.531,4.888,0.334
136.848308,-155.9,4.456,5.863,0.3225
133.110007,71.92,5.732,5.745,0.3239
133.143462,70.74,5.718,5.712,0.3251
133.10799,71.83,5.744,5.74,0.3233
133.103879,71.87,5.757,5.758,0.3242
133.10012,71.97,5.752,5.75,0.3236
133.102774,72.25,5.748,5.739,0.3232
204.349167,164.07,2.123,0.307,0.7623
142.720784,-68.41,2.619,5.891,0.5581
135.094939,103.76,4.74,5.849,0.2995
133.124489,71.44,5.751,5.756,0.3236
133.449089,76.43,5.894,5.488,0.3034
133.289857,74.89,5.713,5.889,0.3357
154.280602,-164.59,3.903,2.494,0.484
141.729588,116.77,3.195,4.778,0.4633
138.440709,125.97,4.527,4.873,0.5768
133.116992,71.77,5.76,5.723,0.3227
133.091054,71.99,5.758,5.758,0.3247
133.104461,71.95,5.756,5.758,0.3254
145.853309,97.86,2.182,5.85,0.7973
137.244376,70.74,4.775,5.899,0.7973
135.332749,59.53,5.202,4.383,0.4151
133.126137,71.0,5.769,5.739,0.3246
133.164711,70.82,5.682,5.688,0.3278
133.227143,73.21,5.843,5.669,0.3153
133.126606,71.22,5.771,5.744,0.325
133.127279,71.6,5.764,5.751,0.3249
133.246851,72.33,5.759,5.758,0.3247
148.483214,-170.5,2.462,5.888,0.7913
140.954392,130.74,3.768,5.725,0.7079
135.623467,-109.73,5.863,5.694,0.2105
133.1656,71.35,5.721,5.74,0.3271
133.127915,72.13,5.809,5.685,0.3196
133.121047,71.66,5.754,5.757,0.3248
145.140504,-46.1,3.422,5.832,0.7899
140.27355,-59.25,5.517,3.468,0.7944
136.262262,-123.67,4.775,5.233,0.3924
133.129436,71.22,5.798,5.72,0.3212
133.401376,80.32,5.54,5.892,0.3328
133.316372,76.0,5.821,5.586,0.3206
151.726866,-19.68,5.875,1.628,0.515
136.421272,-81.4,5.785,3.808,0.4536
137.644144,-51.47,5.865,5.066,0.5372
133.117854,71.97,5.738,5.735,0.3238
133.168122,71.17,5.702,5.729,0.327
133.096314,70.79,5.761,5.737,0.3235
133.114221,71.26,5.777,5.763,0.3251
133.118098,71.62,5.767,5.76,0.3249
133.110529,71.8,5.762,5.759,0.3248
143.405519,-16.44,3.501,5.897,0.2125
139.239634,-32.09,4.904,5.861,0.2076
134.760554,88.52,4.954,5.25,0.4105
133.217748,72.91,5.812,5.71,0.3181
133.320159,70.17,5.804,5.71,0.321
133.26106,73.68,5.67,5.695,0.3309
145.323618,-108.44,2.443,5.89,0.3711
141.494912,-179.13,4.551,5.811,0.6008
138.54911,-48.41,4.08,5.798,0.4562
133.091158,70.82,5.762,5.747,0.3234
133.117224,71.55,5.769,5.761,0.3221
133.068334,70.87,5.775,5.752,0.3204
143.261409,51.56,3.052,4.431,0.7192
135.53857,101.01,5.571,5.876,0.5724
135.981308,-56.27,4.995,4.882,0.322
133.241572,72.73,5.801,5.706,0.3201
133.31229,74.5,5.638,5.864,0.3331
133.078028,70.83,5.777,5.746,0.3221
133.322349,69.22,5.779,5.757,0.32
133.104447,71.43,5.784,5.748,0.3201
133.111138,70.96,5.77,5.748,0.3203
144.71318,-131.27,3.226,4.086,0.5172
141.675943,37.77,5.316,4.417,0.7849
