fx,orientation,trans,win_e,win_w
133.7409629617428,77.56,0.2933,5.185,5.897
160.39760443619943,163.71,0.2623,3.0660000000000003,3.196
234.77903962822805,-157.17,0.7866,0.166,0.181
153.18108166841571,0.0,0.5,3.0,3.0
137.05754640594176,-178.89,0.2024,5.871,5.886
148.33947220405975,174.33,0.7981,5.891,5.88
174.1978072144133,-175.94,0.2178,5.8889999999999985,0.109
134.66110954639288,-119.64,0.2978,5.899,5.9
134.7747592116478,-60.43,0.2005,5.898,5.9
139.9756079619709,-1.17,0.3689,5.9,5.9
168.98558406593162,-173.52,0.2008,0.172,5.895
145.76371670990932,-158.25,0.7809,5.843999999999999,5.896
137.73337081063283,179.55,0.2393,5.8820000000000014,5.894
135.0124320665776,-100.25,0.2315,5.891,5.896
135.15957965565235,-130.62,0.3126,5.898,5.896
134.62332424132842,-109.34,0.2873,5.9,5.9
140.82261725228943,153.12,0.5194,3.384,5.89
147.46339069107927,29.51,0.2219,2.785,5.853
137.7568281874078,122.88,0.5276,5.847,5.897
134.71861837142617,-107.55,0.259,5.898,5.897
134.64349182199751,-118.92,0.2766,5.894,5.897
134.49214973440584,-114.95,0.2844,5.9,5.9
134.52195578280424,-114.97,0.2843,5.859,5.9
134.48682013402166,-114.99,0.2843,5.9,5.9
134.49532635688274,-114.98,0.2838,5.9,5.9
140.29256055517246,-98.57,0.5196,3.298,5.8870000000000005
143.80804670500763,-27.33,0.6304,5.438,5.891
139.47570728743247,26.97,0.4639,3.8360000000000003,5.9
134.6216957874327,-119.22,0.2873,5.874,5.899
134.4949838406172,-115.15,0.2839,5.895,5.895
134.74948461489993,-114.39,0.2851,5.898,5.894
150.85670245063562,21.76,0.2109,5.855,2.4459999999999997
152.32289465211426,179.57,0.5497,5.809,1.878
140.38046581914935,-179.5,0.5235,5.202999999999999,5.871
133.76502924435326,-81.08,0.2699,5.899,5.898
139.58216489137064,-27.97,0.2026,4.9430000000000005,5.898
236.56648594678128,180.0,0.8,0.1,0.1
147.4335821516069,-138.81,0.5301,5.8389999999999995,2.273
140.0754680041494,31.15,0.5176,5.89,3.4530000000000003
138.73408967909924,178.67,0.4015,5.896,4.01
133.71290058935568,-72.43,0.2569,5.9,5.899
134.66693984475182,-92.97,0.2543,5.669,5.892
133.72338882151263,-83.52,0.3317,5.9,5.9
133.71132988154758,-72.43,0.2569,5.9,5.9
133.71531944531375,-72.38,0.257,5.9,5.9
133.7117953008891,-72.45,0.2569,5.9,5.899
133.70997061907843,-72.51,0.2568,5.9,5.9
133.71341776485474,-72.57,0.2568,5.9,5.9
154.33162024367732,-163.16,0.2582,3.304,3.486
137.40689955641847,-81.83,0.4372,4.68,4.09
137.69102880850463,-149.51,0.3445,3.951,5.864
133.93919072565572,-79.22,0.3022,5.882999999999999,5.9
133.71960765633906,-86.97,0.3276,5.8889999999999985,5.897
133.87075503118714,-85.65,0.3263,5.899,5.9
137.29071147446837,72.24,0.3033,4.527,4.356
139.07744447082584,170.37,0.2959,3.742,5.8229999999999995
138.75024669137593,-29.87,0.2962,5.7639999999999985,4.181
134.01248268196449,-78.4,0.2615,5.9,5.895
134.44698189837774,-91.49,0.3414,5.794,5.898
133.8364742984387,-70.23,0.2541,5.9,5.9
145.81318259328725,33.82,0.7992,2.628,5.8329999999999975
138.3226847232697,89.18,0.6898,4.412,4.481
134.50914029436606,106.65,0.3429,5.117,5.837999999999999
133.94379490649672,-79.42,0.2853,5.8770000000000024,5.898
133.99041849484212,-88.11,0.3277,5.895,5.892
133.59411285212997,-86.5,0.3282,5.8870000000000005,5.899
133.58878073038446,-86.51,0.3283,5.8870000000000005,5.9
133.5973938704278,-86.4,0.3284,5.881,5.9
133.59602788181945,-86.5,0.3286,5.888,5.9
141.2796779707941,-53.64,0.7986,5.794,3.358
