fx,orientation,trans,win_e,win_w
133.88206306600796,57.55,0.3649,4.989,5.8770000000000024
188.2279303755236,-147.79,0.7977,3.454,0.532
164.42083295305886,130.18,0.4275,1.018,5.666
153.18108166841571,0.0,0.5,3.0,3.0
174.7020251575959,-172.29,0.2011,5.891,0.114
171.71212145738966,179.94,0.7909,5.886,0.119
147.95928803257584,-178.68,0.7934,5.8839999999999995,5.86
138.48271802132513,-119.94,0.6946,5.899,5.885
137.6580175947759,-60.69,0.5979,5.895,5.891
133.7675215558163,85.24,0.2436,5.9,5.9
141.3287500626201,-179.08,0.2026,3.486,5.898
134.44158880857074,-90.2,0.2845,5.894,5.893
140.1964157502527,11.21,0.4203,5.882999999999999,5.85
137.91146967773957,26.11,0.2001,5.89,5.895
136.78652542197054,143.99,0.2038,5.899,5.894
135.35950525727094,-144.46,0.2779,5.9,5.9
147.91613287573549,179.46,0.7732,5.8820000000000014,5.8820000000000014
139.47053499426193,-169.06,0.4865,4.055,5.87
136.3867585967557,-129.62,0.4511,5.775,5.894
133.875278001845,93.95,0.2553,5.9,5.896
136.94114652104372,144.53,0.2042,5.898,4.945
236.8769115511245,-180.0,0.4076,0.1,0.1
133.65488516562428,85.01,0.2443,5.9,5.899
133.85138543011257,84.52,0.245,5.9,5.648
133.65483006312814,85.1,0.2445,5.9,5.899
134.08006289521634,84.8,0.2444,5.384,5.899
133.7489784773718,84.91,0.2444,5.642,5.899
171.37800152688737,179.82,0.2222,5.864,0.238
145.093251634627,159.27,0.5266,5.885,2.8560000000000003
140.57375938742106,154.1,0.5173,5.848,5.888
133.75623595009242,85.87,0.252,5.771,5.875
133.70937679796685,56.73,0.2792,5.899,5.884
133.07203131558515,71.42,0.2537,5.9,5.9
147.4088904363481,25.36,0.7949,2.539,5.87
142.45879091773554,-19.34,0.3189,3.3569999999999998,5.875
145.48370791688006,-4.9,0.3102,5.863,2.678
133.05658252838563,71.82,0.2581,5.886,5.894
133.28052069669928,76.43,0.2584,5.897,5.875
133.2732534729667,70.36,0.258,5.888999999999999,5.9
145.9794638056226,2.35,0.7626,5.884,3.057
137.53130795870334,56.27,0.6369,4.412,4.81
140.51849605206593,17.99,0.5108,5.895,3.796
133.03997071772773,72.27,0.2563,5.894,5.888999999999999
133.2117210330133,72.36,0.2562,5.8889999999999985,5.884
133.16883314317246,72.61,0.2612,5.895,5.892
133.16693912317743,72.62,0.2565,5.9,5.897
133.0523715860777,72.04,0.2565,5.9,5.885
133.05431702393759,71.98,0.256,5.894,5.892
141.8152296350303,144.08,0.3915,3.6010000000000004,4.39
138.35263901212386,-48.46,0.4917,4.25,4.789
136.57819353562996,111.55,0.3958,5.777,4.4030000000000005
133.102692432355,73.92,0.2615,5.853,5.882999999999999
136.35604468385333,128.62,0.3551,4.94,5.746
222.41447849225057,-22.72,0.2,1.445,0.1
147.35504791348654,-178.15,0.5776,5.88,2.622
140.88238658034206,-159.97,0.3169,5.862,3.358
135.9485347837442,-51.4,0.3656,5.9,4.356
133.45192421657148,78.99,0.2789,5.806,5.851
134.97382623760217,112.96,0.2316,5.891,5.511
137.57897546100978,163.97,0.2,4.915,5.9
165.65378678086412,-175.78,0.6547,0.179,5.867000000000001
139.54384865084222,-68.27,0.6842,3.804,5.897
137.09473527355317,-114.56,0.5516,5.699,4.2780000000000005
133.1389623489849,73.0,0.2598,5.8660000000000005,5.886
134.33695566728608,95.74,0.2401,5.888999999999999,5.6
