fx,orientation,trans,win_e,win_w
135.07584041771815,90.67,0.4598,4.641,5.435
225.64581743174926,66.95,0.7953,0.387,0.746
136.91643439153964,-135.2,0.2518,5.376,4.678
153.18108166841571,0.0,0.5,3.0,3.0
171.18578165255582,180.0,0.2,0.157,5.897
172.36332586585598,176.8,0.2011,5.892,0.121
148.38881837798678,178.06,0.7986,5.896,5.858
133.5124260110475,-77.29,0.3494,5.891,5.632999999999999
135.19988231037914,-135.37,0.2508,5.8870000000000005,5.9
140.12425829926315,-30.74,0.4233,5.9,5.9
169.44210164546303,-178.22,0.2099,0.14800000000000002,5.853
137.4430256174455,178.46,0.2067,5.859,5.7920000000000025
135.67557092307334,37.93,0.2108,5.897,5.876
133.6425227970768,-74.71,0.2514,5.898,5.895
133.9791942117811,-82.21,0.3013,5.899,5.1579999999999995
134.36563557592524,-92.37,0.3234,5.9,5.721
148.0834086249315,-179.27,0.7986,5.891,3.384
170.484504663962,-178.82,0.4138,5.894,0.133
143.4949825547702,-174.61,0.6059,5.875,5.89
133.3250157831043,-73.22,0.2813,5.895,5.545
133.390192017032,-74.16,0.2829,5.897,5.546
133.68766759997726,-72.0,0.2815,5.897,5.55
133.64251514106545,-73.94,0.2829,5.6579999999999995,5.558
133.59562370731967,-77.01,0.2736,5.895,5.475
133.55692258853256,-74.6,0.2787,5.898,5.593999999999999
133.33956968959268,-73.33,0.2815,5.865,5.546
133.3103467631558,-73.65,0.2804,5.895,5.535
140.68409557233593,153.28,0.4995,3.339,5.888
141.22180284935752,131.37,0.4776,5.897,3.3960000000000004
136.51757809015407,120.78,0.4571,5.862,5.893
133.61906306619233,-75.03,0.282,5.874,5.52
134.25155280570394,-77.95,0.251,5.8020000000000005,5.62
133.48325168941716,-73.86,0.2806,5.888999999999999,5.5470000000000015
155.86009685392833,-139.03,0.7982,1.134,5.891
146.9276622656995,-12.98,0.7599,4.029,5.8729999999999976
136.07503338156323,47.24,0.3691,4.1080000000000005,5.823
133.3130276285878,-72.71,0.3158,5.9,5.615
139.62212134540118,-102.09,0.2012,4.939,4.581
158.62514241477874,65.01,0.8,5.9,0.1
142.19177577088197,-153.26,0.4553,3.012,5.8679999999999986
141.50515604683667,-31.17,0.6176,5.893,3.68
136.30307344528748,41.59,0.3636,5.662000000000001,4.393
133.5974285816658,-72.39,0.3025,5.895,5.511
137.09712156233317,-132.07,0.2004,4.952,5.892
181.97355339105945,-180.0,0.8,4.059,0.1
133.30440454941697,-73.73,0.2802,5.9,5.5379999999999985
133.32536067114393,-73.33,0.2806,5.9,5.529
133.32618146601132,-73.42,0.28,5.893,5.5360000000000005
151.84684163122319,-48.8,0.2019,2.289,5.888999999999999
136.87980660991786,-67.75,0.4695,4.314,4.46
136.54577053713749,66.72,0.5685,4.5280000000000005,4.659
133.71362069230952,-71.62,0.3345,5.769,5.511
137.75263789436758,-132.44,0.2009,5.8729999999999976,4.585
167.75063626752907,83.87,0.4441,4.6080000000000005,0.1
163.8936943837591,167.98,0.2033,2.989,3.202
145.17411607777802,4.27,0.6406,5.856,5.857
136.35616531915713,138.7,0.3244,4.798,5.893
133.6497278134852,-71.13,0.3137,5.8729999999999976,5.629
139.72640917447652,-15.74,0.2055,5.098,5.899
163.24684277151076,-180.0,0.7567,5.9,1.06
158.13438760101204,-27.33,0.2094,5.86,1.617
141.11239783238375,-168.43,0.478,5.899,3.671
138.5379856657803,-175.42,0.4239,4.9239999999999995,5.895
133.5122609423233,-76.68,0.3269,5.8889999999999985,5.522
136.8361643670355,-132.66,0.3791,4.95,4.587
151.24188119515438,89.99,0.3488,5.574,1.826
133.60069170057432,-74.59,0.2789,5.9,5.524
133.39906227887153,-74.16,0.2796,5.9,5.5310000000000015
133.30892415537434,-73.67,0.2806,5.9,5.5420000000000025
144.99750070526838,115.51,0.7709,5.819,3.0210000000000004
136.87050723220187,-72.28,0.3495,3.852,5.871
133.70037021781698,60.49,0.3523,5.824,5.848
133.48145538775844,-74.81,0.3186,5.897,5.5870000000000015
137.630447530243,-53.47,0.2007,5.732,4.613
135.78775958847186,-131.24,0.3767,5.246,5.475
162.39581529911106,7.81,0.5432,0.911,5.891
142.58232004155963,161.35,0.618,5.774,4.793
135.24784956943398,87.19,0.4373,4.885,5.057
133.99468365552028,-78.34,0.2961,5.824,5.631
133.61026968368157,-71.92,0.3222,5.898,5.586
133.55217096132844,-74.93,0.3188,5.899,5.636
