fx,orientation,trans,win_e,win_w
136.12228573714614,-136.78,0.3542,4.697,5.6789999999999985
136.12228573714614,-136.78,0.3542,4.697,5.678999999999999
136.12228573714614,-136.78,0.3542,4.697,5.6789999999999985
138.61387141111746,173.9,0.4165,5.242999999999999,5.187
196.02256777969475,-158.16,0.6989,0.307,2.5340000000000003
153.18108166841571,0.0,0.5,3.0,3.0
172.86837544213122,179.84,0.2007,5.836,0.128
137.1723623741067,-178.44,0.2029,5.851,5.881
171.3499183273199,177.44,0.2072,0.12,5.885
134.6070102942557,-119.05,0.3011,5.9,5.893
135.1495033547122,-59.69,0.3989,5.896,5.893
145.7449891031157,157.41,0.723,5.9,5.9
144.7052731286565,35.84,0.2006,5.884,3.0810000000000004
133.91643627866034,69.05,0.2003,5.834,5.872000000000001
138.5784224549705,-28.21,0.2311,5.895,5.823
136.24371286060543,127.68,0.2021,5.897,5.898
133.2460389193791,75.13,0.2686,5.794,5.897
139.26181666377022,-180.0,0.4111,5.9,5.9
137.98592375567617,-88.28,0.7986,5.879,3.836
138.9876887969186,37.72,0.5788,5.855,4.166
136.86677066836523,-71.37,0.654,5.8889999999999985,5.885
133.59581130623494,77.39,0.3649,5.897,5.899
133.1763566849765,75.58,0.2788,5.897,5.892
133.10474655267538,74.03,0.2577,5.9,5.9
133.2566570763516,70.25,0.2593,5.9,5.9
133.21490631195076,75.71,0.2577,5.9,5.9
133.17702008370352,73.99,0.2573,5.899,5.8039999999999985
133.14830361593656,73.7,0.2542,5.867000000000001,5.9
133.10499813031944,73.87,0.256,5.9,5.9
171.09415613001042,-168.16,0.4395,5.888,0.175
141.21783586577774,22.21,0.5295,5.855,5.89
139.16519365295912,8.59,0.3635,5.896,4.2360000000000015
133.40343839644905,80.51,0.3185,5.899,5.898
133.2764509417508,74.76,0.2891,5.877999999999999,5.8
133.13023384765052,73.28,0.2571,5.9,5.89
165.7158302889889,177.53,0.7866,0.364,5.886
137.4931902943953,-110.95,0.5191,5.89,3.867
134.84918765129234,-82.41,0.5265,5.8610000000000015,5.2120000000000015
133.1981001172624,75.41,0.2696,5.894,5.895
133.4589976000113,75.14,0.259,5.899,5.65
133.0704643608222,73.84,0.2827,5.882999999999999,5.897
159.07778351514756,-97.22,0.2015,1.444,5.888
166.80461178986073,150.26,0.7676,5.8420000000000005,0.275
139.79231195464286,3.68,0.3414,5.86,5.71
133.5118135685302,89.9,0.2952,5.899,5.895
135.32188382795985,120.64,0.3517,5.8629999999999995,5.898
133.73842579203972,91.38,0.3133,5.766,5.9
133.0731406775479,73.57,0.2828,5.882999999999999,5.9
133.07374695741288,73.89,0.2828,5.876,5.9
133.06431024031602,73.98,0.28300000000000003,5.8839999999999995,5.9
133.07651621455238,73.91,0.2842,5.884,5.891
133.05852567567973,74.07,0.2827,5.886,5.9
144.30271931905682,33.73,0.7904,3.035,5.89
140.30050929741702,53.83,0.4371,2.95,5.869
142.77762162786982,-23.11,0.6033,3.88,5.019
133.18723926550183,76.89,0.2929,5.881,5.9
133.22152984233102,74.31,0.2829,5.898,5.898
133.19216347200023,75.55,0.2783,5.865,5.9
140.27869511212123,-71.4,0.313,3.631,4.704
143.52394022439168,30.13,0.7885,5.646,5.1080000000000005
141.33051805734624,-10.11,0.4492,4.396,5.735
133.30564321883526,74.67,0.2644,5.877999999999999,5.836
138.38880253008182,133.22,0.2072,4.9289999999999985,4.9510000000000005
204.3196676593272,-81.66,0.7955,3.011,0.1
145.9068990279687,-139.26,0.2183,5.69,3.132
141.47443021324517,-175.64,0.5926,3.9530000000000003,5.894
144.57959315285578,-176.86,0.6816,5.884,4.872
133.06743079686012,74.13,0.2827,5.871,5.896
139.80601001574775,14.84,0.2007,4.938,4.9460000000000015
147.78429136884714,180.0,0.2655,2.585,5.9
133.22959242118472,74.98,0.282,5.898,5.9
133.22960938555352,74.52,0.2823,5.892,5.9
133.22391182547557,74.3,0.2825,5.8889999999999985,5.9
141.0353915693865,150.76,0.6045,3.7960000000000003,5.869
